,Overall Rank,City_x,State_x,Combine,Total Score,City_y,Density,Population,square miles,StateL,State_y
67,68,Dallas,TX,DallasTX,59.82,Dallas,3870,1317929,341, Texas,TX
68,69,Burlington,VT,BurlingtonVT,59.81,Burlington,647,19141,30, Vermont,VT
69,70,Virginia Beach,VA,Virginia BeachVA,59.71,Virginia Beach,1818,452602,249, Virginia,VA
70,71,Long Beach,CA,Long BeachCA,59.58,Long Beach,9348,470130,50, California,CA
71,72,Anchorage,AK,AnchorageAK,59.53,Anchorage,175,298192,"1,705", Alaska,AK
72,73,Cheyenne,WY,CheyenneWY,59.51,Cheyenne,2611,64019,25, Wyoming,WY
73,74,Columbia,MD,ColumbiaMD,59.47,Columbia,3224,103170,32, Maryland,MD
74,75,Mesa,AZ,MesaAZ,59.25,Mesa,3551,484587,136, Arizona,AZ
75,76,Chesapeake,VA,ChesapeakeVA,58.63,Chesapeake,698,237940,341, Virginia,VA
76,77,Reno,NV,RenoNV,58.58,Reno,2381,245255,103, Nevada,NV
77,78,Tallahassee,FL,TallahasseeFL,58.54,Tallahassee,1904,190894,100, Florida,FL
78,79,Atlanta,GA,AtlantaGA,58.46,Atlanta,3549,472522,133, Georgia,GA
79,80,Oxnard,CA,OxnardCA,58.36,Oxnard,7732,207906,27, California,CA
80,81,Nampa,ID,NampaID,58.2,Nampa,2930,91382,31, Idaho,ID
81,82,Los Angeles,CA,Los AngelesCA,58.12,Los Angeles,8484,3976322,469, California,CA
82,83,Orlando,FL,OrlandoFL,58.04,Orlando,2707,277173,102, Florida,FL
83,84,Portland,OR,PortlandOR,57.72,Portland,4795,639863,133, Oregon,OR
84,85,Salem,OR,SalemOR,57.71,Salem,3495,167419,48, Oregon,OR
85,86,Brownsville,TX,BrownsvilleTX,57.55,Brownsville,1389,183823,132, Texas,TX
86,87,Pittsburgh,PA,PittsburghPA,57.45,Pittsburgh,5484,303625,55, Pennsylvania,PA
87,88,Riverside,CA,RiversideCA,57.25,Riverside,4002,324722,81, California,CA
88,89,Fontana,CA,FontanaCA,57.23,Fontana,4941,209665,42, California,CA
89,90,New York,NY,New YorkNY,57.1,New York,28211,8537673,303, New York,NY
90,91,Nashua,NH,NashuaNH,57.09,Nashua,2849,87882,31, New Hampshire,NH
91,92,Huntsville,AL,HuntsvilleAL,57.0,Huntsville,924,193079,209, Alabama,AL
92,93,Jersey City,NJ,Jersey CityNJ,56.85,Jersey City,17860,264152,15, New Jersey,NJ
93,94,West Valley City,UT,West Valley CityUT,56.83,West Valley City,3841,136574,36, Utah,UT
