City,State abb,Overall Rank,Total Score,Emotional & Physical Well Being Rank,Income & Employment Rank,Community & Environment Rank
Indianapolis,IN,151,47.83,147,177,89
Fort Wayne,IN,152,47.63,152,143,132
New Orleans,LA,153,47.57,164,127,76
North Las Vegas,NV,154,47.19,157,158,99
Las Vegas,NV,155,47.02,149,146,144
Tulsa,OK,156,46.5,170,83,110
Wilmington,DE,157,46.32,156,144,154
Providence,RI,158,45.81,169,115,122
New Haven,CT,159,45.56,131,141,182
Montgomery,AL,160,45.48,143,176,155
Baltimore,MD,161,44.75,148,161,177
Jackson,MS,162,44.7,150,178,178
Shreveport,LA,163,44.59,171,173,75
Memphis,TN,164,44.45,146,179,156
Philadelphia,PA,165,44.27,168,165,115
Columbus,GA,166,44.27,174,154,109
Fayetteville,NC,167,44.17,159,153,170
Akron,OH,168,44.05,154,166,174
Cincinnati,OH,169,43.5,165,145,162
Fort Smith,AR,170,43.33,176,135,136
St. Louis,MO,171,42.85,162,170,160
Augusta,GA,172,42.38,175,163,106
Mobile,AL,173,42.22,172,174,135
Newark,NJ,174,41.86,141,182,180
Huntington,WV,175,41.58,182,51,18
Little Rock,AR,176,41.4,178,130,101
Gulfport,MS,177,41.06,179,162,94
Cleveland,OH,178,40.81,163,180,164
Birmingham,AL,179,40.78,173,167,163
Charleston,WV,180,39.68,180,65,93
Toledo,OH,181,39.48,177,171,148
Detroit,MI,182,29.19,181,181,181
