Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
8451 Parkwood Blvd,American (Traditional),Sports Bars,Lounges,,Plano,6414.357310078015,Moxie's Grill & Bar,False,$$,4.0,120,TX
8412 Preston Rd,Cafes,Turkish,Hookah Bars,,Plano,5728.306983152152,Turkish Cafe & Lounge,False,$$,2.5,418,TX
532 Spectrum Center Dr,Italian,Pizza,Wine Bars,,Irvine,5272.855898309878,CUCINA enoteca Irvine,False,$$,4.0,2066,CA
14346 Culver Dr,Seafood,Bars,Live/Raw Food,,Irvine,3153.030732708289,EMC Seafood & Raw Bar,False,$$,4.0,1621,CA
8577 Irvine Center Dr,Mexican,Cocktail Bars,,,Irvine,5893.434583887427,Puesto Los Olivos Irvine,False,$$,4.0,1283,CA
13126 Jamboree Rd,Mexican,Lounges,Latin American,,Irvine,5685.624454812019,Cha Cha's Latin Kitchen,False,$$,4.5,698,CA
620 Spectrum Center Dr,American (New),Bars,Vegetarian,,Irvine,5458.891217956407,Yard House,False,$$,3.5,1711,CA
8573 Irvine Center Dr,Pizza,Italian,Cocktail Bars,,Irvine,5908.100318138111,Angelina's Pizzeria Napoletana,False,$$,4.0,668,CA
4647 MacArthur Blvd,American (New),Breakfast & Brunch,Cocktail Bars,,Newport Beach,6736.531235782314,Bosscat Kitchen and Libations,False,$$,4.5,3040,CA
3311 Michelson Dr,Mexican,Cocktail Bars,,,Irvine,4803.128825917121,Puesto Park Place Irvine,False,$$,4.0,625,CA
772 Spectrum Center Dr,Breakfast & Brunch,Bars,Steakhouses,,Irvine,5515.765131542243,Del Frisco's Grille,False,$$,4.0,780,CA
536 Spectrum Center Dr,Mexican,Bars,,,Irvine,5298.671786366226,Javier's - Irvine,False,$$,3.5,2244,CA
17900 Jamboree Rd,Bars,American (New),,,Irvine,4350.155357963731,Eats Kitchen,False,$$,4.0,629,CA
19100 Von Karman Ave,American (New),Tapas Bars,Wine Bars,,Irvine,6019.589974218499,Bistango,False,$$$,4.0,701,CA
501 Spectrum Center Dr,Barbeque,American (Traditional),Bars,,Irvine,5318.919798810352,Wood Ranch BBQ & Grill,False,$$,3.5,879,CA
4143 Campus Dr,American (New),Bars,Burgers,,Irvine,5268.904517396242,Eureka!,False,$$,3.5,845,CA
2607 Main St,American (New),Cocktail Bars,,,Irvine,4373.178304897682,Andrei's Conscious Cuisine & Cocktails,False,$$,4.0,605,CA
2647 Park Ave,Wine Bars,Steakhouses,Party & Event Planning,,Tustin,3746.743854954993,The Winery Restaurant & Wine Bar,False,$$$,4.0,982,CA
1910 Main St,Mexican,Bars,Breakfast & Brunch,,Irvine,5536.690776403071,El Torito Grill,False,$$,3.5,837,CA
6511 Quail Hill Pkwy,American (New),Cocktail Bars,Breakfast & Brunch,,Irvine,2916.008856327832,Two Left Forks,False,$$,4.0,387,CA
2449 Park Ave,Italian,Bars,Pizza,,Tustin,3878.4309918806025,Luna Rossa,False,$$,4.0,923,CA
220 E 4th St,American (New),Tapas/Small Plates,Bars,,Santa Ana,10201.65098661181,Playground,False,$$,4.5,2974,CA
4200 Campus Dr,Bars,American (Traditional),,,Irvine,5606.402908936974,Anthill Pub & Grille,False,$,4.0,385,CA
6000 Scholarship,Vietnamese,Bars,Asian Fusion,,Irvine,5645.621553510948,Phans 55,False,$$,4.0,567,CA
1370 Bison Ave,Seafood,Steakhouses,Lounges,,Newport Beach,7739.551256651099,Eddie V's Prime Seafood,False,$$$,4.5,1408,CA
2930 Bristol St,Cuban,Latin American,Bars,,Costa Mesa,8551.335787188047,Habana,False,$$,4.0,3663,CA
18512 MacArthur Blvd,Mexican,Bars,Breakfast & Brunch,,Irvine,6089.298118002401,El Torito,False,$$,3.5,689,CA
17900 Jamboree Rd,Lounges,Cocktail Bars,,,Irvine,4344.646184876708,Red Bar & Lounge,False,$$,4.0,243,CA
18000 Von Karman Avenue,Lounges,Whiskey Bars,"Beer, Wine & Spirits",,Irvine,5248.415066357964,Y.N.K,False,$$,4.5,88,CA
3333 Bristol St,American (New),Wine Bars,Seafood,,Costa Mesa,8823.280757626188,Seasons 52,False,$$,4.0,2456,CA
18482 MacArthur Blvd,American (Traditional),Pubs,Party & Event Planning,,Irvine,6054.997168052702,Gulliver's Restaurant,False,$$$,3.5,766,CA
19530 Jamboree Rd,American (New),Whiskey Bars,Venues & Event Spaces,,Irvine,6538.651112034144,Twenty Eight,False,$$$,3.5,427,CA
3333 Bristol St,Steakhouses,Seafood,Wine Bars,,Costa Mesa,8823.984342393032,The Capital Grille,False,$$$,4.5,1550,CA
2493 Park Ave,Bars,Cajun/Creole,Seafood,,Tustin,3829.6567495414533,Kettlebar Steam Cooking,False,$$,4.0,654,CA
2937 Bristol St,American (New),Wine Bars,Breakfast & Brunch,,Costa Mesa,8633.536973735274,Old Vine Kitchen and Bar,False,$$,4.0,1976,CA
6735 Quail Hill Pkwy,Wine Bars,Tapas/Small Plates,Beer Bar,,Irvine,2980.561627464801,Bacchus Bar & Bistro,False,$$,4.0,305,CA
2493 Park Ave,Cocktail Bars,Burgers,Asian Fusion,,Tustin,3847.727799144192,STOWAWAY,False,$$,4.0,500,CA
661 Spectrum Center Dr,Bars,American (Traditional),Arcades,,Irvine,5521.195253899342,Dave & Buster's,False,$$,3.0,1082,CA
3333 Bristol St,Italian,Bars,,,Costa Mesa,8834.017586328373,Maggiano's Little Italy,False,$$,4.0,2351,CA
14215 Red Hill Ave,Noodles,Izakaya,Beer Bar,,Tustin,6336.2078753159985,Habuya Okinawan Dining,False,$$,4.0,578,CA
2636 Dupont Dr,American (Traditional),Bars,,,Irvine,5520.078332789173,Daily Grill,False,$$,3.5,509,CA
3030 El Camino Real,Burgers,Cocktail Bars,Beer Bar,,Tustin,4875.552052390148,Hopdoddy Burger Bar,False,$$,4.0,652,CA
14110 Culver Dr,Chicken Wings,American (Traditional),Sports Bars,,Irvine,3489.6966481348095,Buffalo Wild Wings,False,$$,3.0,876,CA
2300 SE Bristol St,Pizza,Italian,Bars,,Newport Beach,7580.363246997695,Sgt Pepperoni's Pizza Store,False,$$,4.5,702,CA
2222 Michelson Dr,Cocktail Bars,Beer Bar,,,Irvine,5743.936229530526,Center Hub,False,$$,4.5,87,CA
4020 Barranca Pkwy,American (Traditional),Burgers,Sports Bars,,Irvine,1471.385825890034,Islands Restaurant,False,$$,3.5,350,CA
365 El Camino Real,Burgers,American (Traditional),Beer Bar,,Tustin,7619.923595138734,American Grub,False,$$,4.5,526,CA
15040 Kensington Park Dr,Sandwiches,Beer Bar,Cafes,,Tustin,4374.670905442204,Board & Brew - Tustin,False,$,4.5,205,CA
455 Newport Center Dr,Steakhouses,Wine Bars,,,Newport Beach,10212.776272336892,Flemings Prime Steakhouse & Wine Bar- Newport Beach,False,$$$,4.0,1640,CA
8112 E Coast Hwy,Seafood,Steakhouses,Lounges,,Newport Beach,12782.9922574907,Mastro's Ocean Club,False,$$$$,4.0,2007,CA
251 E Coast Hwy,Mexican,Breakfast & Brunch,Bars,,Newport Beach,12208.468851712827,SOL Mexican Cocina,False,$$,4.0,2205,CA
227 N Broadway,Bars,Breakfast & Brunch,Tapas/Small Plates,,Santa Ana,10365.201253374764,Chapter One: the modern local,False,$$,3.5,2267,CA
23 N Pinckney St,American (Traditional),Breakfast & Brunch,Beer Bar,,Madison,1198.4178473798793,The Old Fashioned,False,$$,4.0,1743,WI
18 N Carroll St,American (New),Wine Bars,,,Madison,1013.0640972071467,Graft,False,$$$,4.5,357,WI
116 S Hamilton St,Steakhouses,Bars,Seafood,,Madison,1206.984656851446,Tornado Steak House,False,$$$,4.0,504,WI
121 S Pinckney St,Cocktail Bars,Wine Bars,American (New),,Madison,1429.9392271241554,Merchant,False,$$,4.0,540,WI
617 Williamson St,French,Breakfast & Brunch,Bars,,Madison,1938.9607567787145,Sardine,False,$$,4.0,446,WI
117 Martin Luther King Jr Blvd,Burgers,Cocktail Bars,Breakfast & Brunch,,Madison,1323.9884854115342,DLUX,False,$$,4.0,444,WI
316 W Washington Ave,Sushi Bars,Desserts,Cocktail Bars,,Madison,902.8958802651579,RED,False,$$,4.5,206,WI
1374 Willamson St,Pizza,Bars,,,Madison,3198.208848929289,Grampa's Pizzeria,False,$$,4.5,238,WI
102 King St,Bars,American (Traditional),,,Madison,1382.0683518800915,The Tipsy Cow,False,$$,4.0,407,WI
222 W Gorham St,American (Traditional),Pubs,Beer Bar,,Madison,547.9519667997474,HopCat,False,$$,4.0,352,WI
20 W Mifflin St,American (New),Pubs,,,Madison,994.3620146504153,The Cooper's Tavern,False,$$,4.0,407,WI
120 E Wilson St,Bars,Seafood,Steakhouses,,Madison,1545.9880181937704,Tempest Oyster Bar,False,$$$,4.0,255,WI
708 E Johnson,American (New),Breakfast & Brunch,Beer Bar,,Madison,1698.168209742924,Forequarter,False,$$$,4.0,247,WI
908 E Johnson St,Coffee & Tea,Breakfast & Brunch,Pubs,,Madison,2071.555182731519,Johnson Public House,False,$,4.0,162,WI
1524 Williamson St,Pubs,American (New),Pizza,,Madison,3502.2652931608654,Mickey's Tavern,False,$,4.0,201,WI
101 King St,Pizza,American (New),Lounges,,Madison,1383.3575425764545,Lucille,False,$$,4.0,282,WI
