Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
5403 College Ave,Italian,Cocktail Bars,Wine Bars,,Oakland,4402.408359967654,Belotti Ristorante E Bottega,False,$$,4.5,469,CA
1825-3 San Pablo Ave,Izakaya,Cocktail Bars,Ramen,,Oakland,2916.475418411332,Shinmai,False,$$,4.0,627,CA
2221 Broadway,Beer Bar,,,,Oakland,2559.9420392448765,Luka's Taproom,False,$$,3.5,1586,CA
907 Washington St,Mexican,Breakfast & Brunch,Cocktail Bars,,Oakland,3007.5364038859952,Cosecha,False,$$,4.0,770,CA
4390 Telegraph Ave,Korean,Lounges,Asian Fusion,,Oakland,3913.876317850549,AZIT,False,$$,4.5,473,CA
4293 Piedmont Ave,Italian,Pizza,Bars,,Oakland,3126.5289967748176,Dopo,False,$$,4.0,998,CA
135 12th St,Bars,,,,Oakland,2108.851579930748,Mad Oak,False,$$,4.0,546,CA
2270 Telegraph Ave,Caribbean,Bars,Breakfast & Brunch,,Oakland,2719.475087136511,Kingston 11 Cuisine,False,$$,4.0,744,CA
5912 College Ave,Vegan,Vegetarian,Wine Bars,,Oakland,5196.288878176,Millennium,False,$$$,4.0,623,CA
2600 Telegraph Ave,Asian Fusion,Cocktail Bars,Tapas/Small Plates,,Oakland,2827.3789134834037,Blind Tiger,False,$$,4.0,829,CA
201 Washington St,American (New),Bars,,,Oakland,3286.1226571255083,The Fat Lady,False,$$,4.0,914,CA
444 Oak St,Mexican,Cocktail Bars,,,Oakland,2423.967574443343,Nido,False,$$,4.0,726,CA
1741 Telegraph Ave,Venues & Event Spaces,Sports Bars,Cocktail Bars,,Oakland,2684.950027560055,Make Westing,False,$$,4.0,581,CA
1304 Lincoln Ave,Tiki Bars,,,,Alameda,3579.2934225750023,Forbidden Island,False,$$,4.0,1157,CA
2882 Telegraph Ave,Pubs,British,Beer Bar,,Oakland,2959.586592356026,CommonWealth Cafe & Public House,False,$$,4.0,448,CA
1727 Telegraph Ave,Lounges,Cocktail Bars,,,Oakland,2673.448860024038,Somar Bar,False,$$,4.0,553,CA
389 Grand Ave,Bars,Coffee & Tea,,,Oakland,1418.2988838533213,Room 389,False,$$,4.0,424,CA
33 Grand Ave,Coffee & Tea,Bars,Breakfast & Brunch,,Oakland,2467.8951543017743,Farley's East,False,$,4.0,598,CA
4401 Piedmont Ave,Tiki Bars,,,,Oakland,3263.699939765334,Kona Club,False,$$,4.0,570,CA
827 Washington St,Wine Bars,Lounges,Tapas/Small Plates,,Oakland,2988.7809131578933,District Oakland,False,$$,4.0,684,CA
3601 Grand Ave,American (New),Gastropubs,Pubs,,Oakland,1582.2638165192177,Grand Tavern,False,$$,4.0,700,CA
3891 Piedmont Ave,Pubs,Gastropubs,Wine Bars,,Oakland,2867.7719304236584,Cato's Ale House,False,$$,4.0,615,CA
542 Grand Ave,American (New),Mediterranean,Bars,,Oakland,1193.7189641935427,Sidebar Oaktown,False,$$,3.5,726,CA
344 12th St,Vietnamese,Cocktail Bars,Noodles,,Oakland,2508.7942550777607,Tay Ho Oakland Restaurant & Bar,False,$$,4.0,588,CA
3325 Grand Ave,Dive Bars,Piano Bars,,,Oakland,1406.7479300914229,The Alley,False,$,4.0,404,CA
2424 Lincoln Ave,German,Bars,Modern European,,Alameda,3958.926066586214,Speisekammer,False,$$,4.0,1280,CA
Jack London Sq,Seafood,Bars,,,Oakland,3298.4378824846463,Scott's Seafood,False,$$$,3.5,1064,CA
355 19th St,Bars,,,,Oakland,2379.3820228991326,Bar Three Fifty-Five,False,$$,4.0,322,CA
2058 Mountain Blvd,Wine Bars,Mediterranean,French,,Oakland,3912.926597088658,Perle Wine Bar,False,$$$,4.5,189,CA
4214 Park Blvd,Italian,Cocktail Bars,Wine Bars,,Oakland,1748.4082862293874,Marzano,False,$$,4.0,506,CA
1644 Telegraph Ave,Bars,,,,Oakland,2642.22623002726,Dogwood,False,$$,4.0,407,CA
2213 S Shore Ctr,Italian,Cocktail Bars,,,Alameda,4999.063572722467,Trabocco Kitchen & Cocktails,False,$$,4.0,1117,CA
1429 Broadway,Coffee & Tea,Beer Bar,Wine Bars,,Oakland,2675.4234093911336,Awaken Cafe,False,$$,4.0,513,CA
308 14th St,Mediterranean,Hookah Bars,,,Oakland,2386.3539068008217,Aria Lounge,False,$$,4.5,214,CA
100 Grand Ave,Seafood,Breakfast & Brunch,Cocktail Bars,,Oakland,2376.1313455498816,Alamar Kitchen & Bar,False,$$,4.0,267,CA
1951 Embarcadero E,Bars,Seafood,,,Oakland,2269.571300914306,Quinn's Lighthouse,False,$$,3.5,839,CA
1716 Park St,Breweries,Beer Bar,,,Alameda,3696.7248428756798,Alameda Island Brewing Company,False,$,4.5,297,CA
911 Washington St,Hot Dogs,Beer Bar,,,Oakland,2973.462482486476,Rosamunde Sausage Grill - Oakland,False,$$,4.0,432,CA
2700 1st Ave N,American (New),Tapas/Small Plates,Bars,,Billings,2722.7832680797965,Walkers,False,$$,4.0,156,MT
109 N 30th St,Cinema,Pubs,,,Billings,2415.6050960096877,Art House Cinema & Pub,False,$,5.0,29,MT
2203 Montana Ave,American (New),Pubs,,,Billings,3249.289905537774,Last Chance Pub & Cider Mill,False,$$,4.5,64,MT
1430 Country Manor Blvd,American (New),Bars,,,Billings,5883.3650262579185,Local Kitchen And Bar,False,$$,4.0,79,MT
109 N Broadway,Pubs,Sports Bars,Breakfast & Brunch,,Billings,2631.2874178996426,Hooligan's Sports Bar,False,$$,4.0,38,MT
119 N Broadway,American (New),Wine Bars,Venues & Event Spaces,,Billings,2609.192706041204,Bin 119,False,$$,3.5,77,MT
2425 Gabel Rd,Steakhouses,Bars,,,Billings,4419.363982276437,Jake's Bar & Grill,False,$$,3.5,99,MT
1233 N 27th St,American (New),Beer Bar,,,Billings,2494.2997489537506,406 Kitchen & Taproom,False,$$,3.5,80,MT
1400 S 24th St W,Bars,,,,Billings,4603.64260149032,Trailhead Spirits,False,$$,4.0,26,MT
3925 Grand Ave,Pizza,Sports Bars,,,Billings,5904.98956391045,Carbone's Pizzeria & Pub,False,$$,4.0,28,MT
4020 Montana Sapphire Dr,American (New),Pubs,Gastropubs,,Billings,6994.75739190291,The Divide Bar & Grill,False,$$,3.5,52,MT
520 Hansen Ln,American (Traditional),Breakfast & Brunch,Bars,,Billings,6246.664231598782,Montana Jacks-Billings,False,$$,4.0,28,MT
501 Hilltop Rd,Sports Bars,,,,Billings,6306.308583067749,The Vig Alehouse,False,$$,4.0,34,MT
116 N Broadway,Cocktail Bars,Italian,,,Billings,2579.3805096282395,Doc Harper's Tavern,False,$$,4.0,26,MT
3429 TransTech Way,Seafood,Steakhouses,Lounges,,Billings,6171.885587700598,The Windmill & Bar51,False,$$$,3.0,60,MT
313 N Broadway,American (Traditional),Beer Bar,Breakfast & Brunch,,Billings,2525.724799872941,Seva Kitchen,False,$$,3.5,44,MT
5104 Southgate Dr,Sports Bars,,,,Billings,2905.5089094988443,Fiddler's Green,False,$$,3.5,35,MT
101 N 28th St,Lounges,Casinos,,,Billings,2642.23275274673,Crystal Lounge and Casino,False,$,3.5,21,MT
2455 Central Ave,Barbeque,Bars,,,Billings,3255.785783785547,Cj's Bar and Grill,False,$$,3.0,39,MT
323 N 24th St,Bars,Burgers,Sandwiches,,Billings,2944.9893303214776,Tiny's Tavern,False,$$,3.5,17,MT
411 South 24 West,Chicken Wings,American (Traditional),Sports Bars,,Billings,3406.973892557457,Buffalo Wild Wings,False,$$,3.0,35,MT
2413 Montana Ave,Bars,Community Service/Non-Profit,Music Venues,,Billings,3022.7802619629915,Craft Local,False,$$,5.0,6,MT
760 S 20th St W,Casinos,American (Traditional),Bars,,Billings,3362.7762279735766,Gusick's Restaurant,False,$$,3.5,22,MT
905 Grand Ave,Casinos,Sports Bars,American (Traditional),,Billings,564.4808584531932,Grandstand Sports Bar and Casino,False,$,4.5,6,MT
2502 1st Ave N,Music Venues,Pubs,,,Billings,2929.581286075274,Pub Station,False,$$,4.5,6,MT
3875 Grand Ave,Lounges,,,,Billings,5795.5883230636755,The Red Door Lounge,False,$$,3.5,18,MT
2417 Montana Ave,Italian,Wine Bars,,,Billings,3009.2883413574746,Cafe Italia,False,$$,3.0,26,MT
2403 Montana Ave,Bars,,,,Billings,3058.3030551652214,Rainbow Bar,False,$,3.0,18,MT
1744 Grand Ave,Sports Bars,Casinos,,,Billings,1771.6824063386587,Cadillac Jax,False,$,3.5,10,MT
3141 King Ave W,Casinos,American (New),Lounges,,Billings,5083.772462972279,Western Empire Emporium,False,$$,4.0,6,MT
740 24th St W,American (Traditional),Sports Bars,Burgers,,Billings,3887.75132163324,Applebee's Grill + Bar,False,$$,3.0,14,MT
204 Main,Sports Bars,Burgers,American (Traditional),,Billings,5207.579642221352,Applebee's Grill + Bar,False,$$,2.5,22,MT
1029 Main St,Pubs,,,,Billings,6833.817433316018,Stadium Club,False,$$,3.0,14,MT
1422 Main St,Bars,American (Traditional),,,Billings,7285.022403623066,Play Inn,False,$$,3.5,8,MT
5448 Laurel Rd,Bars,Casinos,,,Billings,2829.9066169268763,The Bayou Casino and Lounge,False,$,3.5,6,MT
934 US Highway 87 E,Bars,,,,Billings,6376.181232445059,Second Shift,False,$,5.0,2,MT
1600 Avenue D,Casinos,Sports Bars,,,Billings,1552.2058367719103,Shooters Casino & Sports Bar,False,$,3.0,5,MT
1123 1st Ave N,Gay Bars,Dance Clubs,,,Billings,4352.698832633272,The Loft,False,$$,2.5,8,MT
3839 Grand Ave,Casinos,Bars,,,Billings,5695.524068575872,Magic City Casino,False,$$,5.0,1,MT
222 N 28th St,Sports Bars,,,,Billings,2513.884948832381,Stampede country sports bar,False,$$,3.5,2,MT
3178 Gable Rd,Casinos,Wine Bars,,,Billings,5900.10146407173,Casino 8,False,$$,4.0,1,MT
1525 Broadwater Ave,Sports Bars,Lounges,Casinos,,Billings,1261.7389170899035,Squire Lounge & Patio,False,$,2.5,3,MT
1911 King Ave W,Casinos,Pubs,,,Billings,3292.630196465785,Palagio's Pub and Casino,False,$,3.0,2,MT
960 W University Dr,British,Pubs,Caterers,,Tempe,4153.34249799368,Cornish Pasty,False,$$,4.5,1647,AZ
615 S College Ave,Italian,Wine Bars,Breakfast & Brunch,,Tempe,3898.4578881670036,Postino Annex,False,$$,4.5,725,AZ
114 E 7th St,American (New),French,Wine Bars,,Tempe,3856.881861830141,House of Tricks,False,$$$,4.0,1076,AZ
1435 E University Dr,Mediterranean,American (New),Wine Bars,,Tempe,3998.096205924437,Salut Kitchen Bar,False,$$,4.0,746,AZ
699 S Mill Ave,Pizza,Wine Bars,Mediterranean,,Tempe,3890.9205414294247,La Bocca Urban Pizzeria + Wine Bar,False,$$,4.0,748,AZ
850 S Ash Ave,Seafood,Pubs,Irish,,Tempe,3618.265770338486,Casey Moore's Oyster House,False,$$,4.0,830,AZ
23 S McClintock Dr,Steakhouses,Seafood,Bars,,Tempe,5428.6999301785245,The Keg Steakhouse + Bar - Tempe,False,$$$,4.0,393,AZ
401 S Mill Ave,Irish,Irish Pub,,,Tempe,4196.0464434829,Rula Bula,False,$$,4.0,557,AZ
530 W Broadway,American (Traditional),Pubs,,,Tempe,2455.6040362571707,Boulders On Broadway,False,$$,4.0,459,AZ
2000 E Rio Salado Pkwy,American (Traditional),Pubs,Gastropubs,,Tempe,5543.287401680712,Thirsty Lion Gastropub & Grill,False,$$,3.5,702,AZ
4427 S Rural Rd,Indian,Bars,Buffets,,Tempe,997.2670982673209,India's Flame,False,$$,4.5,113,AZ
21 E 6th St,Burgers,Bars,American (New),,Tempe,3931.945065290406,Rehab Burger Therapy,False,$$,4.0,264,AZ
29 W Southern Ave,Music Venues,Dive Bars,Asian Fusion,,Tempe,762.7846118600088,Yucca Tap Room,False,$,4.0,224,AZ
1835 E Elliot Rd,Italian,Buffets,Wine Bars,,Tempe,5073.480404059731,VinciTorio's,False,$$,4.0,464,AZ
730 S Mill Ave,Breweries,American (Traditional),Sports Bars,,Tempe,3889.748740084438,Pedal Haus Brewery,False,$$,3.5,396,AZ
1801 E Baseline Rd,Indian,Buffets,Cocktail Bars,,Tempe,2645.920500425789,Chutney's Indian Cuisine,False,$$,4.0,367,AZ
3415 S McClintock Dr,Ramen,Sushi Bars,Beer Bar,,Tempe,2369.790404175917,Ramen Dozo,False,$$,4.0,180,AZ
1705 E Broadway Rd,Sushi Bars,Japanese,Cocktail Bars,,Tempe,2871.60439652798,SakeBomber Sushi & Grill,False,$$,4.0,308,AZ
715 S Mcclintock Dr,Bars,Venues & Event Spaces,American (New),,Tempe,4433.284084076356,Social Hall,False,$$,4.0,205,AZ
403 W University Dr,Wine Bars,Pubs,,,Tempe,3760.363453612051,Taste of Tops,False,$$,4.5,140,AZ
740 S Mill Ave,Pizza,Bars,Sandwiches,,Tempe,3836.3357740755505,Mellow Mushroom,False,$$,3.5,566,AZ
1470 E Southern Ave,American (New),"Beer, Wine & Spirits",Pubs,,Tempe,1811.0506455626157,Spokes On Southern,False,$$,3.5,313,AZ
1801 E Baseline Rd,Coffee & Tea,Bars,Breakfast & Brunch,,Tempe,2658.1385277438226,Steve's Espresso,False,$,4.0,164,AZ
7210 E 2nd St,Burgers,Bars,American (New),,Scottsdale,11423.096536268511,Rehab Burger Therapy,False,$$,4.5,2176,AZ
1135 Dobson Rd,Korean,Barbeque,Bars,,Mesa,5667.993109009503,Manna BBQ,False,$$,4.5,375,AZ
601 W University Dr,Distilleries,Cocktail Bars,,,Tempe,3845.804782947823,Arizona Distilling,False,$$,4.5,55,AZ
1006 E Warner Rd,Bars,American (New),,,Tempe,5976.725644647886,Cotton & Copper,False,$$,4.5,88,AZ
5350 S Lakeshore Dr,American (New),Pubs,Sports Bars,,Tempe,1918.7447937143118,The Watershed,False,$$,3.0,553,AZ
425 S Mill Ave,British,Pubs,,,Tempe,4129.975312105814,Cornish Pasty Co,False,$$,4.0,128,AZ
149 S Farmer,Bars,American (Traditional),,,Tempe,4526.3478718480865,The Yard at Farmer Arts District,False,$$,4.0,139,AZ
680 S Mill Ave,Bars,American (Traditional),Beer Gardens,,Tempe,3933.2564409433353,The Handlebar Tempe,False,$$,3.5,307,AZ
222 S Mill Ave,Mexican,Bars,,,Tempe,4401.240221235378,Loco Patron,False,$$,3.5,254,AZ
6939 E 1st Ave,American (New),Wine Bars,,,Scottsdale,11703.841081717339,Cafe Monarch,False,$$$$,4.5,748,AZ
3815 N Brown Ave,Latin American,Mexican,Bars,,Scottsdale,11518.772113737865,The Mission Old Town,False,$$$,4.0,2018,AZ
8749 S Rural Rd,Bars,Breakfast & Brunch,American (New),,Tempe,5989.376603929936,Tempe Public Market Cafe,False,$$,3.5,315,AZ
2000 Rio Salado Pkwy,Bars,American (New),Gastropubs,,Tempe,5764.843910448141,Bar Louie - Tempe Marketplace,False,$$,3.0,446,AZ
640 S Mill Ave,Mexican,Sports Bars,Dance Clubs,,Tempe,3966.611587426961,El Hefe,False,$$,3.0,569,AZ
680 S Mill Ave,Bars,American (Traditional),,,Tempe,3922.503265453091,Fat Tuesday,False,$$,3.5,235,AZ
420 S Mill Ave,Bars,Breweries,American (New),,Tempe,4140.176265792295,Gordon Biersch Brewery Restaurant,False,$$,3.0,360,AZ
6434 S McClintock Dr,Pizza,Wine Bars,,,Tempe,3540.46958600079,Sacred Pi,False,$$,4.0,85,AZ
2200 N Scottsdale Rd,Sushi Bars,Cocktail Bars,Asian Fusion,,Scottsdale,9294.1596819295,Bei,False,$$,4.5,663,AZ
2000 E Rio Salado Pkwy,Bars,Arcades,American (Traditional),,Tempe,5609.656004276123,Dave & Buster's,False,$$,3.0,367,AZ
350 S Mill Ave,American (Traditional),Beer Bar,Breakfast & Brunch,,Tempe,4265.666026571096,Americana Tempe,False,$$,4.0,96,AZ
1826 N Scottsdale Rd,American (Traditional),Sports Bars,,,Tempe,6776.748407933242,Philly's Sports Grill,False,$$,3.5,174,AZ
3223 S Mill Ave,Sports Bars,Burgers,Dive Bars,,Tempe,695.646522489149,Monkey Pants Bar & Grill,False,$,3.5,213,AZ
26 E University Dr,Pizza,Music Venues,Sports Bars,,Tempe,3722.5815042738736,Shady Park,False,$$,3.5,182,AZ
6922 E Main St,Pizza,Beer Gardens,Wine Bars,,Scottsdale,11600.627042571947,CRAFT 64,False,$$,4.5,644,AZ
524 N 92nd St,Steakhouses,Lounges,,,Scottsdale,8475.248450179979,Cholla Prime Steakhouse & Lounge,False,$$,4.5,265,AZ
955 E University Dr,Sports Bars,American (New),Burgers,,Tempe,3735.005804631161,Devil's Advocate,False,$,3.5,226,AZ
740 S Mill Ave,Bars,Tacos,,,Tempe,3801.3548632339803,House of Tacos,False,$,4.0,90,AZ
12045 Chapman Ave,Bars,Pizza,Italian,,Garden Grove,3650.303511215747,Carolina's Italian Restaurant,False,$$,3.5,1886,CA
12926 Main St,Cocktail Bars,Asian Fusion,Tapas/Small Plates,,Garden Grove,1669.8780218619647,Barcode,False,$$,4.5,241,CA
9252 Garden Grove Blvd,Korean,Bars,,,Garden Grove,1050.1849063417794,The Past Memories,False,$$,4.0,630,CA
1313 S Harbor Blvd,Juice Bars & Smoothies,Tiki Bars,,,Anaheim,5458.519782634577,Tiki Juice Bar,False,$,4.5,987,CA
13041 Kerry St,Bars,Asian Fusion,Korean,,Garden Grove,207.3707721744926,Soju Belly,False,$$,4.0,474,CA
1313 S Harbor Blvd,French,Lounges,American (Traditional),,Anaheim,5305.340765119602,Club 33,False,$$$$,4.5,906,CA
12942 Main St,American (Traditional),Sports Bars,,,Garden Grove,1667.6196173405601,Louie’s On Main,False,$$,4.0,332,CA
440 S Anaheim Blvd,Gastropubs,Speakeasies,,,Anaheim,7587.388946734946,The Blind Rabbit,False,$$,4.5,1716,CA
220 E 4th St,American (New),Tapas/Small Plates,Bars,,Santa Ana,9125.035071268756,Playground,False,$$,4.5,2974,CA
7561 Center Ave,Burgers,Sports Bars,,,Huntington Beach,5711.230253218712,Grinderz,False,$,4.5,782,CA
8303 Garden Grove Blvd,Korean,Barbeque,Beer Bar,,Garden Grove,2657.0021250126056,Red Castle,False,$$,3.5,868,CA
1150 Magic Way,Tiki Bars,,,,Anaheim,4746.1766308614015,Trader Sam's Enchanted Tiki Bar,False,$$,4.0,1559,CA
17071 Beach Blvd,Burgers,Sports Bars,American (Traditional),,Huntington Beach,7335.160690224196,Slater's 50/50 - Huntington Beach,False,$$,4.0,3298,CA
12362 Chapman Ave,Breweries,Pizza,Sports Bars,,Garden Grove,4153.877061027415,Oggi's Garden Grove,False,$$,3.5,840,CA
2390 E Orangewood Ave,American (New),Breweries,Pubs,,Anaheim,7429.373144052951,Karl Strauss Brewing Company,False,$$,4.5,924,CA
7631 Edinger Ave,Mexican,Breakfast & Brunch,Bars,,Huntington Beach,5973.540617771456,solita Tacos & Margaritas,False,$$,4.0,1481,CA
10549 Stanford Ave,Bars,American (Traditional),,,Garden Grove,970.1152236988465,Henry's Bar & Grill,False,$,4.5,132,CA
1580 Disneyland Dr,Bars,Mediterranean,,,Anaheim,5016.500170930163,Uva Bar & Café,False,$$,4.0,1345,CA
3321 Hyland Ave,Tapas/Small Plates,Spanish,Bars,,Costa Mesa,9430.488223779956,Pueblo,False,$$,4.5,1350,CA
10832 Katella Ave,Hookah Bars,Egyptian,Mediterranean,,Anaheim,3378.4553175295036,Cairo Restaurant & Cafe,False,$$,4.5,375,CA
13132 Garden Grove Blvd,Sports Bars,American (Traditional),,,Garden Grove,5035.412975062655,The Glen Bar & Grill,False,$$,4.0,210,CA
7777 Beach Blvd,American (New),Burgers,Beer Bar,,Buena Park,9072.111349932416,Rock & Brews - Buena Park,False,$$,4.0,2096,CA
7490 Edinger Ave,American (New),Breakfast & Brunch,Bars,,Huntington Beach,6181.17831582408,STACKED: Food Well Built - Huntington Beach,False,$$,4.0,1062,CA
17428 Beach Blvd,Dive Bars,Pizza,Whiskey Bars,,Huntington Beach,7821.001349327941,Johnny's Saloon,False,$$,4.5,615,CA
201 Ctr St Promenade,Juice Bars & Smoothies,Tex-Mex,Wine Bars,,Anaheim,7679.494446246552,Healthy Junk,False,$$,4.0,1334,CA
440 S Anaheim Blvd,Seafood,Cajun/Creole,Cocktail Bars,,Anaheim,7629.739186940679,Kettlebar Steam Cooking,False,$$,4.0,939,CA
3333 Bristol St,American (New),Wine Bars,Seafood,,Costa Mesa,11542.44897212106,Seasons 52,False,$$,4.0,2456,CA
1801 E Katella Ave,Bars,Mediterranean,American (New),,Anaheim,7187.623366125003,Zov's Anaheim,False,$$,4.5,574,CA
227 N Broadway,Bars,Breakfast & Brunch,Tapas/Small Plates,,Santa Ana,8833.684366581048,Chapter One: the modern local,False,$$,3.5,2267,CA
7631 Edinger Ave,American (New),Bars,Burgers,,Huntington Beach,5916.111449753059,Eureka!,False,$$,4.0,813,CA
3333 Bristol St,Steakhouses,Seafood,Wine Bars,,Costa Mesa,11532.919000820335,The Capital Grille,False,$$$,4.5,1550,CA
368 S Main St,Delis,Bars,Sandwiches,,Orange,8427.573079578091,Hollingshead's Delicatessen,False,$$,4.5,668,CA
4647 MacArthur Blvd,American (New),Breakfast & Brunch,Cocktail Bars,,Newport Beach,14529.626888317376,Bosscat Kitchen and Libations,False,$$,4.5,3040,CA
8550 Chapman Ave,Cocktail Bars,Lounges,,,Garden Grove,2673.8117759246293,The Vintage Cocktail Lounge,False,$,4.5,70,CA
12752 Valley View,Sports Bars,American (Traditional),Breakfast & Brunch,,Garden Grove,6954.940607782832,On the Rocks Bar & Grill,False,$$,3.5,361,CA
2930 Bristol St,Cuban,Latin American,Bars,,Costa Mesa,12788.227408793895,Habana,False,$$,4.0,3663,CA
127 W Commonwealth Ave,Wine Bars,Beer Bar,,,Fullerton,11057.353886867906,Twisted Vine,False,$$,4.5,1140,CA
2410 E Katella Ave,American (New),Wine Bars,Pubs,,Anaheim,7785.486239220318,Calivino Wine Pub,False,$$,4.5,459,CA
190 S Glassell St,Gastropubs,American (New),Cocktail Bars,,Orange,9836.533553422769,Haven Craft Kitchen + Bar,False,$$,3.5,2638,CA
305 E 4th St,Pubs,Gastropubs,Beer Bar,,Santa Ana,9210.888435113216,Wursthaus,False,$$,4.5,635,CA
300 N Main St,Cocktail Bars,Tapas/Small Plates,American (New),,Santa Ana,8970.340374689422,Mix Mix Kitchen Bar,False,$$,4.5,422,CA
280 S Lemon St,Bars,Specialty Food,,,Anaheim,7625.944722277256,Colony Wine Merchant,False,$$,5.0,158,CA
7041 Yorktown Ave,Mediterranean,Tapas/Small Plates,Wine Bars,,Huntington Beach,11379.160924773629,The Black Trumpet Bistro Tapas & Wine Bar,False,$$,4.5,810,CA
3321 Hyland Ave,American (New),Bars,,,Costa Mesa,9420.14725360065,ARC Restaurant Food & Libations,False,$$,4.0,1152,CA
9541 Bolsa Ave,Vietnamese,Bars,,,Westminster,3294.434138881131,Quan Mii,False,$$,3.5,451,CA
700 West Convention Way,American (New),Lounges,"Beer, Wine & Spirits",,Anaheim,4504.736698030801,"nFuse Restaurant, Bar & Lounge",False,$$,4.0,256,CA
3333 Bristol St,Italian,Bars,,,Costa Mesa,11224.66710562985,Maggiano's Little Italy,False,$$,4.0,2351,CA
435 W Katella Ave,American (Traditional),Beer Bar,,,Anaheim,5242.09998580647,Chambers Bar & Bistro,False,$$,4.5,217,CA
20 City Blvd W,Steakhouses,Bars,American (New),,Orange,6227.119721499613,Saddle Ranch,False,$$,3.0,2099,CA
1650 S Harbor Blvd,Cocktail Bars,Venues & Event Spaces,American (Traditional),,Anaheim,5434.205575880266,The Fifth,False,$$,4.0,623,CA
1431 Larimer St,American (New),Spanish,Bars,,Denver,2855.2299693634436,Rioja,False,$$$,4.5,2046,CO
2030 W 30th Ave,Asian Fusion,Breakfast & Brunch,Bars,,Denver,4414.859401077679,Linger,False,$$,4.0,3026,CO
1317 14th St,American (New),Bars,,,Denver,2885.0080336399556,Euclid Hall Bar & Kitchen,False,$$,4.0,2043,CO
2500 Larimer St,American (New),Latin American,Cocktail Bars,,Denver,2810.0960698608437,Work & Class,False,$$,4.5,1262,CO
523 E 17th Ave,Diners,Breakfast & Brunch,Cocktail Bars,,Denver,1248.9218976439815,Steuben's Uptown,False,$$,4.0,2523,CO
1487 S Pearl St,Japanese,Sushi Bars,Bars,,Denver,5182.987196490936,Sushi Den,False,$$$,4.5,1574,CO
1453 Larimer St,Italian,Pizza,Bars,,Denver,2843.9077483328656,Osteria Marco,False,$$,4.0,1426,CO
2641 E 2nd Ave,Burgers,Sports Bars,,,Denver,2124.565769374474,Cherry Cricket,False,$$,4.0,2295,CO
1801 California St,Steakhouses,Wine Bars,Seafood,,Denver,2140.4033736245196,Guard and Grace,False,$$$,4.5,895,CO
620 E 6th Ave,Italian,Seafood,Bars,,Denver,1351.3929919123793,Angelo’s Taverna,False,$$,4.5,872,CO
1543 Champa St,Cocktail Bars,Lounges,,,Denver,2403.9708318883763,Union Lodge No.1,False,$$,5.0,477,CO
1313 E 6th Ave,American (New),Bars,,,Denver,1096.7751816744308,Fruition Restaurant,False,$$$,4.5,791,CO
1701 Wynkoop St,Bars,American (New),,,Denver,3228.2171091576242,Mercantile Dining & Provision,False,$$,4.5,977,CO
909 17th St,Italian,Bars,Breakfast & Brunch,,Denver,2366.3196999156726,Panzano,False,$$$,4.5,936,CO
200 S Kalamath St,"Beer, Wine & Spirits",Distilleries,Whiskey Bars,,Denver,3531.875540980876,Stranahan's Colorado Whiskey,False,$$,5.0,452,CO
1822 Blake St,American (New),Desserts,Wine Bars,,Denver,2913.6325031187207,Vesta,False,$$$,4.5,890,CO
2129 Larimer St,Pizza,Italian,Bars,,Denver,2755.8424165045185,Marco's Coal Fired- Ballpark,False,$$,4.0,1060,CO
1215 20th St,Bars,Breakfast & Brunch,Venues & Event Spaces,,Denver,2658.241748787643,Ophelia's Electric Soapbox,False,$$,4.0,845,CO
1700 Vine St,American (Traditional),Pubs,Breweries,,Denver,1130.8636404547678,Vine Street Pub & Brewery,False,$$,4.0,874,CO
3920 Tennyson St,Pizza,Beer Bar,Sandwiches,,Denver,7441.050322937775,Hops & Pie,False,$$,4.5,867,CO
1450 Larimer St,Steakhouses,Seafood,Wine Bars,,Denver,2791.5904105017594,The Capital Grille,False,$$$$,4.5,601,CO
1950 S Holly St,Pizza,American (New),Pubs,,Denver,7341.286744355406,Esters Neighborhood Pub,False,$$,4.5,579,CO
3200 Pecos St,Bars,Food Court,,,Denver,4272.172824415803,Avanti Food & Beverage,False,$$,4.0,963,CO
3160 Tejon St,Bars,American (Traditional),,,Denver,4553.231209250954,Williams & Graham,False,$$,4.0,738,CO
2715 17th St,Italian,Wine Bars,Breakfast & Brunch,,Denver,4494.647303313506,Postino LoHi,False,$$,4.5,465,CO
1890 S Pearl St,Burgers,American (Traditional),Cocktail Bars,,Denver,5975.700269962026,Park Burger - Platt Park,False,$$,4.0,733,CO
2500 Larimer St,Pizza,Italian,Bars,,Denver,2802.200029046937,Cart-Driver,False,$$,4.5,363,CO
240 Milwaukee St,Burgers,Salad,Cocktail Bars,,Denver,2318.0311833498818,Bad Daddy's Burger Bar,False,$$,4.5,436,CO
1530 Blake St,Bars,Comfort Food,,,Denver,2971.4127480487027,Freshcraft,False,$$,4.0,919,CO
2434 W 44th Ave,American (New),Breakfast & Brunch,Bars,,Denver,6032.633486068014,Bacon Social House,False,$$,4.0,725,CO
2413 W 32nd Ave,American (New),Breakfast & Brunch,Bars,,Denver,4920.869476898113,Duo Restaurant,False,$$,4.0,639,CO
1521 Marion St,Bars,Mexican,,,Denver,591.3268032436563,Las Margs,False,$,4.5,466,CO
1700 Humboldt St,American (New),Bars,Seafood,,Denver,888.5353597668052,Humboldt Farm Fish Wine,False,$$,4.0,596,CO
