Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
3100 Woodward Ave,Tacos,Bars,,,Detroit,3466.2831091694734,Bakersfield,False,$$,4.5,390,MI,2.5 Mile Radius
1431 Times Square,American (New),Soul Food,Cocktail Bars,,Detroit,4467.444704115641,SavannahBlue,False,$$,4.0,365,MI,5 Mile Radius
4265 Woodward Ave,Pubs,American (Traditional),,,Detroit,2656.389947793245,HopCat,False,$$,3.5,663,MI,2.5 Mile Radius
1538 Centre St,Wine Bars,American (New),Steakhouses,,Detroit,4595.922291224026,Vertical Detroit,False,$$,4.0,312,MI,5 Mile Radius
250 W Larned St,Bars,American (New),,,Detroit,5166.182652766659,The Apparatus Room,False,$$$,4.0,444,MI,5 Mile Radius
4216 Woodward Ave,American (New),Tapas/Small Plates,Cocktail Bars,,Detroit,2733.063454952114,Rock City Eatery,False,$$,4.0,369,MI,2.5 Mile Radius
441 W Canfield,Breweries,Pubs,American (Traditional),,Detroit,2451.005969735172,Jolly Pumpkin Pizzeria and Brewery- Detroit,False,$$,4.0,417,MI,2.5 Mile Radius
488 Selden St,Pubs,Burgers,Breakfast & Brunch,,Detroit,2754.6597567806075,Honest John's Bar & Grill,False,$,4.0,393,MI,2.5 Mile Radius
160 W Fort St,Sushi Bars,Seafood,Bars,,Detroit,4966.466507510566,Maru Sushi & Grill Detroit,False,$$,4.0,318,MI,5 Mile Radius
2100 Michigan Ave,French,American (Traditional),Cocktail Bars,,Detroit,3660.216029559591,Gold Cash Gold,False,$$,4.0,451,MI,2.5 Mile Radius
1456 Woodward Ave,American (New),Whiskey Bars,,,Detroit,4612.7852283476,Cornerstone Barrel House,False,$$,4.5,208,MI,5 Mile Radius
2030 Park Ave,Bars,Jazz & Blues,American (New),,Detroit,4241.360368308549,Cliff Bell's,False,$$,3.5,538,MI,5 Mile Radius
2901 Grand River Ave,American (New),Bars,Seafood,,Detroit,3251.8277521559585,Iridescence,False,$$$,4.0,242,MI,2.5 Mile Radius
1426 Bagley Ave,American (New),Bars,Breakfast & Brunch,,Detroit,4191.453902444791,Lady Of The House,False,$$$,4.0,230,MI,5 Mile Radius
800 Woodward Ave,American (New),Bars,Breakfast & Brunch,,Detroit,4992.846622311745,Parc,False,$$$,4.0,431,MI,5 Mile Radius
66 E Forest Ave,Vegetarian,Vegan,Bars,,Detroit,2573.901015743643,Seva Detroit,False,$$,3.5,431,MI,2.5 Mile Radius
2462 Riopelle St,Distilleries,Cocktail Bars,,,Detroit,4698.363901073298,Detroit City Distillery,False,$$,4.5,162,MI,5 Mile Radius
1234 Library St,Beer Bar,Cocktail Bars,,,Detroit,4786.58735823642,The Skip,False,$$,4.5,124,MI,5 Mile Radius
624 Brush St,German,Pubs,,,Detroit,5244.930545930927,Jacoby's German Biergarten,False,$$,4.0,261,MI,5 Mile Radius
612 Woodward Ave,Pubs,American (New),Irish Pub,,Detroit,5143.369467083192,Grand Trunk Pub,False,$$,3.5,535,MI,5 Mile Radius
