Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
3701 Dallas Pkwy,American (New),Pizza,Wine Bars,,Plano,7440.286655920432,Sixty Vines,False,$$,4.5,966,TX,5 Mile Radius
5880 TX-121,Breakfast & Brunch,Bars,American (Traditional),,Plano,6904.114484084637,The Biscuit Bar,False,$,4.5,580,TX,5 Mile Radius
7300 Lone Star Dr,American (New),Wine Bars,Seafood,,Plano,6644.3359311898885,Seasons 52,False,$$$,4.0,717,TX,5 Mile Radius
7300 Dallas Pkwy,Steakhouses,Seafood,Wine Bars,,Plano,6692.5955541327085,The Capital Grille,False,$$$,4.5,479,TX,5 Mile Radius
1006 E 15th St,Pizza,Lounges,Italian,,Plano,7076.1696437451,Urban Crust,False,$$,4.0,865,TX,5 Mile Radius
8240 Preston Rd,Pubs,American (Traditional),,,Plano,5558.438836690479,The Holy Grail Pub,False,$$,4.0,522,TX,5 Mile Radius
4005 Preston Rd,Italian,Beer Bar,,,Plano,4212.3827098319925,Taverna Rossa,False,$$,4.0,464,TX,5 Mile Radius
8908 Ohio Dr,Sushi Bars,Japanese,Beer Bar,,Plano,5556.11939128538,Sushi Lover,False,$$,4.5,268,TX,5 Mile Radius
7800 Windrose Ave,Bars,Food Court,,,Plano,7009.399031521326,Legacy Hall,False,$$,4.0,776,TX,5 Mile Radius
5840 Legacy Cir,Seafood,Wine Bars,,,Plano,6702.935727568274,The Keeper - Seafood & Grill,False,$$,4.5,315,TX,5 Mile Radius
5880 State Hwy 121,American (Traditional),Beer Bar,,,Plano,6862.165119789186,Union Bear,False,$$,4.5,324,TX,5 Mile Radius
4701 W Park Blvd,Pizza,Italian,Wine Bars,,Plano,5349.891221622499,Kenny's East Coast Pizza,False,$$,4.0,338,TX,5 Mile Radius
7401 Windrose Ave,Cocktail Bars,American (New),,,Plano,7018.93724990222,Earls Kitchen + Bar,False,$$,3.5,643,TX,5 Mile Radius
5800 Legacy Dr,Seafood,Bars,,,Plano,6515.759066702728,Half Shells Seafood Grill,False,$$,4.0,342,TX,5 Mile Radius
3408 N Central Expy,Tex-Mex,Mexican,Bars,,Plano,5474.174354602035,Chuy's,False,$$,4.0,422,TX,5 Mile Radius
3401 Preston Rd,American (New),Cocktail Bars,,,Frisco,6840.127065316251,Mash'D - Frisco,False,$$,4.0,1386,TX,5 Mile Radius
1855 Dallas Pkwy,Seafood,American (Traditional),Sports Bars,,Plano,8471.5958284855,Shell Shack,False,$$,4.0,415,TX,7.5 Mile Radius
1900 Preston Rd,Pizza,Bars,Breakfast & Brunch,,Plano,5504.895947347036,Pie Tap Pizza Workshop + Bar,False,$$,4.5,161,TX,5 Mile Radius
3908 Dallas Pkwy,Mexican,Tex-Mex,Bars,,Plano,7221.887687970498,Chuy's,False,$$,4.0,359,TX,5 Mile Radius
1000 E 14th St,Tex-Mex,Mexican,Beer Bar,,Plano,7173.89715275943,Urban Rio Cantina & Grill,False,$$,4.0,397,TX,5 Mile Radius
6001 W Park Blvd,Italian,Bars,,,Plano,8253.852521109533,Maggiano's Little Italy,False,$$,3.5,453,TX,7.5 Mile Radius
7250 Dallas Pkwy,Wine Bars,Steakhouses,Seafood,,Plano,6715.324208109959,Fleming's Prime Steakhouse & Wine Bar - Plano,False,$$$,4.0,214,TX,5 Mile Radius
5588 State Hwy 121,Pizza,Chicken Wings,Bars,,Plano,6387.829286259431,In-Fretta,False,$$,3.5,361,TX,5 Mile Radius
1410 K Ave,American (Traditional),Gastropubs,Sports Bars,,Plano,7212.447268264132,Brix Bar & Grill,False,$$,4.0,172,TX,5 Mile Radius
6101 W Park Blvd,Steakhouses,Bars,Seafood,,Plano,8402.97821042736,The Keg Steakhouse + Bar - Plano,False,$$,4.0,282,TX,7.5 Mile Radius
1011 E 15th St,Bars,American (Traditional),,,Plano,7018.139683859266,Vickery Park,False,$$,4.0,221,TX,5 Mile Radius
1025 N Central Expy,Sushi Bars,Bars,Japanese,,Plano,6725.064710702412,Tokyo Harbor,False,$$,4.5,96,TX,5 Mile Radius
1004 E 15th St,American (Traditional),Salad,Irish Pub,,Plano,7064.547426965641,The Fillmore Pub,False,$$,3.5,314,TX,5 Mile Radius
3921 Coit Rd,American (New),Wine Bars,,,Plano,2256.344253710209,Sip & Savor,False,$$,4.0,111,TX,2.5 Mile Radius
3316 Preston Rd,Chicken Wings,Sports Bars,American (Traditional),,Plano,4490.158458635936,Pluckers Wing Bar,False,$$,3.5,357,TX,5 Mile Radius
701 W Parker Rd,Tex-Mex,Bars,Tacos,,Plano,4862.4588676055655,Señor Locos,False,$$,4.0,231,TX,5 Mile Radius
4900 West Park Blvd,Sports Bars,Burgers,American (Traditional),,Plano,5649.337185541814,Brick House Tavern + Tap,False,$$,3.5,371,TX,5 Mile Radius
7200 Bishop Rd,Steakhouses,Bars,,,Plano,6466.267002621494,Del Frisco's Grille,False,$$$,3.5,266,TX,5 Mile Radius
5741 Legacy Dr,American (New),Sports Bars,Seafood,,Plano,6511.206167342472,Henry's Tavern,False,$$,3.0,500,TX,5 Mile Radius
6110 Frankford Rd,Southern,Beer Bar,American (Traditional),,Dallas,8643.584625227557,Whistle Britches,False,$$,4.0,883,TX,7.5 Mile Radius
7205 Bishop Rd,Pubs,,,,Plano,6513.779690142891,The Ginger Man,False,$$,3.5,211,TX,5 Mile Radius
7205 Bishop Rd,Cinema,Cafes,Bars,,Plano,6514.322931121661,Angelika Film Center & Cafe - Plano,False,$$,4.0,115,TX,5 Mile Radius
641 Powell Ln,Burgers,Beer Bar,Cocktail Bars,,Plano,7186.123224603696,Rodeo Goat,False,$$,4.0,121,TX,5 Mile Radius
7200 Bishop Rd,American (New),Cocktail Bars,Breakfast & Brunch,,Plano,6502.872951850344,Pepper Smash - A Cocktail Kitchen,False,$$,3.5,267,TX,5 Mile Radius
1251 State St,Seafood,Cocktail Bars,Sandwiches,,Richardson,8599.479963741565,Tricky Fish,False,$$,4.5,499,TX,7.5 Mile Radius
8604 Preston Rd,Pubs,Modern European,,,Plano,5722.746524469913,Rugby House Pub,False,$$,4.0,119,TX,5 Mile Radius
2405 Dallas Pkwy,American (Traditional),Southern,Beer Bar,,Plano,8050.635325147715,Whistle Britches - Plano,False,$$,4.0,107,TX,7.5 Mile Radius
3904 Dallas Pkwy,Cajun/Creole,Seafood,Bars,,Plano,7228.371193412402,Razzoo's Cajun Cafe,False,$$,3.5,175,TX,5 Mile Radius
7201 Bishop Rd,Wine Bars,Breakfast & Brunch,,,Plano,6524.23735367144,Crú - A Wine Bar,False,$$,3.5,151,TX,5 Mile Radius
7301 Windrose Ave,French,Wine Bars,Breakfast & Brunch,,Plano,7034.9035673482385,Toulouse Cafe and Bar,False,$$$$,3.5,137,TX,5 Mile Radius
7700 Windrose Ave,Wine Bars,American (Traditional),,,Plano,7032.717293551228,Barnes & Noble Kitchen,False,$$,4.5,54,TX,5 Mile Radius
6959 Lebanon Rd,American (New),Mediterranean,Wine Bars,,Frisco,9155.243956442871,TruFire Kitchen & Bar,False,$$,4.0,491,TX,7.5 Mile Radius
8451 Parkwood Blvd,American (Traditional),Sports Bars,Lounges,,Plano,6414.357310078015,Moxie's Grill & Bar,False,$$,4.0,120,TX,5 Mile Radius
8412 Preston Rd,Cafes,Turkish,Hookah Bars,,Plano,5728.3069831521525,Turkish Cafe & Lounge,False,$$,2.5,418,TX,5 Mile Radius
532 Spectrum Center Dr,Italian,Pizza,Wine Bars,,Irvine,5272.855898309878,CUCINA enoteca Irvine,False,$$,4.0,2066,CA,5 Mile Radius
14346 Culver Dr,Seafood,Bars,Live/Raw Food,,Irvine,3153.030732708289,EMC Seafood & Raw Bar,False,$$,4.0,1621,CA,2.5 Mile Radius
8577 Irvine Center Dr,Mexican,Cocktail Bars,,,Irvine,5893.434583887427,Puesto Los Olivos Irvine,False,$$,4.0,1283,CA,5 Mile Radius
13126 Jamboree Rd,Mexican,Lounges,Latin American,,Irvine,5685.624454812019,Cha Cha's Latin Kitchen,False,$$,4.5,698,CA,5 Mile Radius
620 Spectrum Center Dr,American (New),Bars,Vegetarian,,Irvine,5458.891217956407,Yard House,False,$$,3.5,1711,CA,5 Mile Radius
8573 Irvine Center Dr,Pizza,Italian,Cocktail Bars,,Irvine,5908.100318138112,Angelina's Pizzeria Napoletana,False,$$,4.0,668,CA,5 Mile Radius
4647 MacArthur Blvd,American (New),Breakfast & Brunch,Cocktail Bars,,Newport Beach,6736.531235782314,Bosscat Kitchen and Libations,False,$$,4.5,3040,CA,5 Mile Radius
3311 Michelson Dr,Mexican,Cocktail Bars,,,Irvine,4803.128825917121,Puesto Park Place Irvine,False,$$,4.0,625,CA,5 Mile Radius
772 Spectrum Center Dr,Breakfast & Brunch,Bars,Steakhouses,,Irvine,5515.765131542243,Del Frisco's Grille,False,$$,4.0,780,CA,5 Mile Radius
536 Spectrum Center Dr,Mexican,Bars,,,Irvine,5298.671786366226,Javier's - Irvine,False,$$,3.5,2244,CA,5 Mile Radius
17900 Jamboree Rd,Bars,American (New),,,Irvine,4350.155357963731,Eats Kitchen,False,$$,4.0,629,CA,5 Mile Radius
19100 Von Karman Ave,American (New),Tapas Bars,Wine Bars,,Irvine,6019.589974218498,Bistango,False,$$$,4.0,701,CA,5 Mile Radius
501 Spectrum Center Dr,Barbeque,American (Traditional),Bars,,Irvine,5318.919798810352,Wood Ranch BBQ & Grill,False,$$,3.5,879,CA,5 Mile Radius
4143 Campus Dr,American (New),Bars,Burgers,,Irvine,5268.904517396242,Eureka!,False,$$,3.5,845,CA,5 Mile Radius
2607 Main St,American (New),Cocktail Bars,,,Irvine,4373.178304897682,Andrei's Conscious Cuisine & Cocktails,False,$$,4.0,605,CA,5 Mile Radius
2647 Park Ave,Wine Bars,Steakhouses,Party & Event Planning,,Tustin,3746.7438549549934,The Winery Restaurant & Wine Bar,False,$$$,4.0,982,CA,2.5 Mile Radius
1910 Main St,Mexican,Bars,Breakfast & Brunch,,Irvine,5536.690776403071,El Torito Grill,False,$$,3.5,837,CA,5 Mile Radius
6511 Quail Hill Pkwy,American (New),Cocktail Bars,Breakfast & Brunch,,Irvine,2916.008856327832,Two Left Forks,False,$$,4.0,387,CA,2.5 Mile Radius
2449 Park Ave,Italian,Bars,Pizza,,Tustin,3878.4309918806025,Luna Rossa,False,$$,4.0,923,CA,2.5 Mile Radius
220 E 4th St,American (New),Tapas/Small Plates,Bars,,Santa Ana,10201.650986611809,Playground,False,$$,4.5,2974,CA,7.5 Mile Radius
4200 Campus Dr,Bars,American (Traditional),,,Irvine,5606.402908936974,Anthill Pub & Grille,False,$,4.0,385,CA,5 Mile Radius
6000 Scholarship,Vietnamese,Bars,Asian Fusion,,Irvine,5645.621553510949,Phans 55,False,$$,4.0,567,CA,5 Mile Radius
1370 Bison Ave,Seafood,Steakhouses,Lounges,,Newport Beach,7739.551256651099,Eddie V's Prime Seafood,False,$$$,4.5,1408,CA,5 Mile Radius
2930 Bristol St,Cuban,Latin American,Bars,,Costa Mesa,8551.335787188047,Habana,False,$$,4.0,3663,CA,7.5 Mile Radius
18512 MacArthur Blvd,Mexican,Bars,Breakfast & Brunch,,Irvine,6089.298118002401,El Torito,False,$$,3.5,689,CA,5 Mile Radius
17900 Jamboree Rd,Lounges,Cocktail Bars,,,Irvine,4344.646184876708,Red Bar & Lounge,False,$$,4.0,243,CA,5 Mile Radius
18000 Von Karman Avenue,Lounges,Whiskey Bars,"Beer, Wine & Spirits",,Irvine,5248.415066357964,Y.N.K,False,$$,4.5,88,CA,5 Mile Radius
3333 Bristol St,American (New),Wine Bars,Seafood,,Costa Mesa,8823.280757626188,Seasons 52,False,$$,4.0,2456,CA,7.5 Mile Radius
18482 MacArthur Blvd,American (Traditional),Pubs,Party & Event Planning,,Irvine,6054.997168052701,Gulliver's Restaurant,False,$$$,3.5,766,CA,5 Mile Radius
19530 Jamboree Rd,American (New),Whiskey Bars,Venues & Event Spaces,,Irvine,6538.651112034145,Twenty Eight,False,$$$,3.5,427,CA,5 Mile Radius
3333 Bristol St,Steakhouses,Seafood,Wine Bars,,Costa Mesa,8823.984342393032,The Capital Grille,False,$$$,4.5,1550,CA,7.5 Mile Radius
2493 Park Ave,Bars,Cajun/Creole,Seafood,,Tustin,3829.6567495414533,Kettlebar Steam Cooking,False,$$,4.0,654,CA,2.5 Mile Radius
2937 Bristol St,American (New),Wine Bars,Breakfast & Brunch,,Costa Mesa,8633.536973735274,Old Vine Kitchen and Bar,False,$$,4.0,1976,CA,7.5 Mile Radius
6735 Quail Hill Pkwy,Wine Bars,Tapas/Small Plates,Beer Bar,,Irvine,2980.561627464801,Bacchus Bar & Bistro,False,$$,4.0,305,CA,2.5 Mile Radius
2493 Park Ave,Cocktail Bars,Burgers,Asian Fusion,,Tustin,3847.727799144192,STOWAWAY,False,$$,4.0,500,CA,2.5 Mile Radius
661 Spectrum Center Dr,Bars,American (Traditional),Arcades,,Irvine,5521.195253899342,Dave & Buster's,False,$$,3.0,1082,CA,5 Mile Radius
3333 Bristol St,Italian,Bars,,,Costa Mesa,8834.017586328373,Maggiano's Little Italy,False,$$,4.0,2351,CA,7.5 Mile Radius
14215 Red Hill Ave,Noodles,Izakaya,Beer Bar,,Tustin,6336.2078753159985,Habuya Okinawan Dining,False,$$,4.0,578,CA,5 Mile Radius
2636 Dupont Dr,American (Traditional),Bars,,,Irvine,5520.078332789173,Daily Grill,False,$$,3.5,509,CA,5 Mile Radius
3030 El Camino Real,Burgers,Cocktail Bars,Beer Bar,,Tustin,4875.552052390148,Hopdoddy Burger Bar,False,$$,4.0,652,CA,5 Mile Radius
14110 Culver Dr,Chicken Wings,American (Traditional),Sports Bars,,Irvine,3489.696648134809,Buffalo Wild Wings,False,$$,3.0,876,CA,2.5 Mile Radius
2300 SE Bristol St,Pizza,Italian,Bars,,Newport Beach,7580.363246997696,Sgt Pepperoni's Pizza Store,False,$$,4.5,702,CA,5 Mile Radius
2222 Michelson Dr,Cocktail Bars,Beer Bar,,,Irvine,5743.936229530526,Center Hub,False,$$,4.5,87,CA,5 Mile Radius
4020 Barranca Pkwy,American (Traditional),Burgers,Sports Bars,,Irvine,1471.3858258900339,Islands Restaurant,False,$$,3.5,350,CA,2.5 Mile Radius
365 El Camino Real,Burgers,American (Traditional),Beer Bar,,Tustin,7619.9235951387345,American Grub,False,$$,4.5,526,CA,5 Mile Radius
15040 Kensington Park Dr,Sandwiches,Beer Bar,Cafes,,Tustin,4374.670905442204,Board & Brew - Tustin,False,$,4.5,205,CA,5 Mile Radius
455 Newport Center Dr,Steakhouses,Wine Bars,,,Newport Beach,10212.776272336892,Flemings Prime Steakhouse & Wine Bar- Newport Beach,False,$$$,4.0,1640,CA,7.5 Mile Radius
8112 E Coast Hwy,Seafood,Steakhouses,Lounges,,Newport Beach,12782.992257490701,Mastro's Ocean Club,False,$$$$,4.0,2007,CA,10 Mile Radius
251 E Coast Hwy,Mexican,Breakfast & Brunch,Bars,,Newport Beach,12208.468851712827,SOL Mexican Cocina,False,$$,4.0,2205,CA,10 Mile Radius
227 N Broadway,Bars,Breakfast & Brunch,Tapas/Small Plates,,Santa Ana,10365.201253374764,Chapter One: the modern local,False,$$,3.5,2267,CA,7.5 Mile Radius
23 N Pinckney St,American (Traditional),Breakfast & Brunch,Beer Bar,,Madison,1198.4178473798793,The Old Fashioned,False,$$,4.0,1743,WI,2.5 Mile Radius
18 N Carroll St,American (New),Wine Bars,,,Madison,1013.0640972071468,Graft,False,$$$,4.5,357,WI,2.5 Mile Radius
116 S Hamilton St,Steakhouses,Bars,Seafood,,Madison,1206.984656851446,Tornado Steak House,False,$$$,4.0,504,WI,2.5 Mile Radius
121 S Pinckney St,Cocktail Bars,Wine Bars,American (New),,Madison,1429.9392271241557,Merchant,False,$$,4.0,540,WI,2.5 Mile Radius
617 Williamson St,French,Breakfast & Brunch,Bars,,Madison,1938.9607567787145,Sardine,False,$$,4.0,446,WI,2.5 Mile Radius
117 Martin Luther King Jr Blvd,Burgers,Cocktail Bars,Breakfast & Brunch,,Madison,1323.9884854115344,DLUX,False,$$,4.0,444,WI,2.5 Mile Radius
316 W Washington Ave,Sushi Bars,Desserts,Cocktail Bars,,Madison,902.895880265158,RED,False,$$,4.5,206,WI,2.5 Mile Radius
1374 Willamson St,Pizza,Bars,,,Madison,3198.208848929289,Grampa's Pizzeria,False,$$,4.5,238,WI,2.5 Mile Radius
102 King St,Bars,American (Traditional),,,Madison,1382.0683518800915,The Tipsy Cow,False,$$,4.0,407,WI,2.5 Mile Radius
222 W Gorham St,American (Traditional),Pubs,Beer Bar,,Madison,547.9519667997474,HopCat,False,$$,4.0,352,WI,2.5 Mile Radius
20 W Mifflin St,American (New),Pubs,,,Madison,994.3620146504152,The Cooper's Tavern,False,$$,4.0,407,WI,2.5 Mile Radius
120 E Wilson St,Bars,Seafood,Steakhouses,,Madison,1545.9880181937704,Tempest Oyster Bar,False,$$$,4.0,255,WI,2.5 Mile Radius
708 E Johnson,American (New),Breakfast & Brunch,Beer Bar,,Madison,1698.1682097429239,Forequarter,False,$$$,4.0,247,WI,2.5 Mile Radius
908 E Johnson St,Coffee & Tea,Breakfast & Brunch,Pubs,,Madison,2071.555182731519,Johnson Public House,False,$,4.0,162,WI,2.5 Mile Radius
1524 Williamson St,Pubs,American (New),Pizza,,Madison,3502.265293160865,Mickey's Tavern,False,$,4.0,201,WI,2.5 Mile Radius
101 King St,Pizza,American (New),Lounges,,Madison,1383.3575425764545,Lucille,False,$$,4.0,282,WI,2.5 Mile Radius
1330 Regent St,American (Traditional),Sports Bars,Pubs,,Madison,1166.4042187992072,Jordan's Big Ten Pub,False,$$,4.5,108,WI,2.5 Mile Radius
2701 Monroe St,American (New),Breakfast & Brunch,Bars,,Madison,3273.422179426044,Everly,False,$$,4.0,198,WI,2.5 Mile Radius
2045 Atwood Ave,Thai,Soup,Bars,,Madison,4093.5901040065,Monsoon Siam,False,$$,4.0,180,WI,5 Mile Radius
127 W Washington Ave,Coffee & Tea,Sandwiches,Bars,,Madison,1060.287423416239,Barriques - West Wash,False,$$,4.0,166,WI,2.5 Mile Radius
111 S Hamilton St,Tacos,Cocktail Bars,,,Madison,1221.3672715218345,Canteen,False,$$,4.0,180,WI,2.5 Mile Radius
2500 University Ave,Italian,Bars,,,Madison,2493.313118375077,Lombardinos Italian Restaurant and Bar,False,$$,4.0,197,WI,2.5 Mile Radius
701A E Washington Ave,Music Venues,Bars,,,Madison,1848.8173568320356,High Noon Saloon,False,$$,4.5,74,WI,2.5 Mile Radius
2609 E Washington Ave,Pubs,,,,Madison,4928.394013008997,The Malt House,False,$$,4.5,81,WI,5 Mile Radius
211 King St,Pizza,Dim Sum,Bars,,Madison,1528.6252145886292,Natt Spil,False,$$,4.0,183,WI,2.5 Mile Radius
105 W Main St,Lounges,,,,Madison,1192.0454463041742,Genna's Lounge,False,$$,4.0,133,WI,2.5 Mile Radius
1 N Webster St,Wine Bars,Seafood,Cocktail Bars,,Madison,1316.9849212626516,Eno Vino Downtown,False,$$,4.0,150,WI,2.5 Mile Radius
3502 Monroe St,American (New),Sports Bars,Breakfast & Brunch,,Madison,3950.9318113138843,Gates & Brovi,False,$$,4.0,192,WI,2.5 Mile Radius
222 W Washington Ave,Italian,Wine Bars,Sandwiches,,Madison,988.3463602608797,Casetta Kitchen and Counter,False,$$,4.5,57,WI,2.5 Mile Radius
7 W Main St,Irish,Pubs,,,Madison,1252.5179829066108,Brocach,False,$$,3.5,270,WI,2.5 Mile Radius
416 S Park St,Lounges,,,,Madison,1452.5764282042205,The Mason Lounge,False,$,4.5,61,WI,2.5 Mile Radius
301 North St,Pubs,American (Traditional),Sports Bars,,Madison,4985.1909711630215,Dexter's Pub,False,$$,4.0,135,WI,5 Mile Radius
1929 Winnebago St,Bars,Breakfast & Brunch,American (Traditional),,Madison,3876.7288821930815,Mint Mark,False,$$,4.0,99,WI,2.5 Mile Radius
601 N North St,American (New),Pubs,,,Madison,5202.639770239244,Tip Top Tavern,False,$$,4.0,108,WI,5 Mile Radius
2535 University Ave,Burgers,Sports Bars,Pool Halls,,Madison,2563.928486951383,Blue Moon Bar & Grill,False,$,4.0,116,WI,2.5 Mile Radius
514 E Wilson St,German,Bars,Music Venues,,Madison,1788.1261707058475,Essen Haus,False,$$,3.5,205,WI,2.5 Mile Radius
357 Price Pl,American (Traditional),Breweries,Bars,,Madison,4399.381938607077,Great Dane Pub & Brewing,False,$$,3.5,229,WI,5 Mile Radius
1328 S Midvale Blvd,Jazz & Blues,Dive Bars,,,Madison,6072.745611907527,Le Tigre Lounge,False,$,4.5,65,WI,5 Mile Radius
2601 W Beltline Hwy,American (Traditional),Beer Bar,Cocktail Bars,,Madison,4959.481877970375,Bonfyre American Grille,False,$$,3.5,251,WI,5 Mile Radius
240 W Gilman St,American (Traditional),Pubs,Burgers,,Madison,442.47269730835364,The Side Door Grill and Tap,False,$$,4.0,100,WI,2.5 Mile Radius
1128 E Washington Ave,Cocktail Bars,American (Traditional),Desserts,,Madison,2602.7192033628075,Avenue Club and the Bubble Up Bar,False,$$,3.5,181,WI,2.5 Mile Radius
117 E Main St,Lounges,,,,Madison,1405.0712896510256,Maduro,False,$$,4.5,51,WI,2.5 Mile Radius
6405 Mineral Point Rd,Mediterranean,Seafood,Bars,,Madison,7687.633326402821,Otto's Restaurant & Bar,False,$$$,4.0,89,WI,5 Mile Radius
21 N Pinckney St,American (New),Bars,,,Madison,1220.3162609179449,Harvest Restaurant,False,$$$,3.5,222,WI,2.5 Mile Radius
2013 Winnebago St,Sports Bars,Breakfast & Brunch,American (Traditional),,Madison,4024.66923189724,Players Sports Bar,False,$,4.5,40,WI,5 Mile Radius
750 N Midvale Blvd,Steakhouses,Wine Bars,Seafood,,Madison,4302.033175666656,Fleming's Prime Steakhouse & Wine Bar,False,$$$,3.5,124,WI,5 Mile Radius
821 E Johnson St,Cocktail Bars,Lounges,,,Madison,1945.892257170704,The Robin Room,False,$$,4.5,40,WI,2.5 Mile Radius
558 State St,Sandwiches,Pubs,Salad,,Madison,320.40034087633666,Roast Public House,False,$$,3.5,180,WI,2.5 Mile Radius
1304 E Washington Ave,Bars,American (Traditional),,,Madison,2929.4379097519013,Baldwin Street Grille,False,$,4.0,73,WI,2.5 Mile Radius
3801 Mineral Point Rd,Pubs,Burgers,American (Traditional),,Madison,3690.0215487644173,Village Bar,False,$,4.5,58,WI,2.5 Mile Radius
43406 Christy St,Seafood,Salad,Bars,,Fremont,3587.614911001278,Market Broiler,False,$$,3.5,1335,CA,2.5 Mile Radius
37296 Mission Blvd,French,Bars,,,Fremont,4929.042701463574,Papillon,False,$$$,4.0,776,CA,5 Mile Radius
43377 Mission Blvd,Beer Bar,,,,Fremont,5891.410679976732,California Craft Beer,False,$$,4.0,338,CA,5 Mile Radius
44356 S Grimmer Blvd,Breweries,Beer Bar,,,Fremont,4587.596480856099,JP DasBrew,False,$,4.5,153,CA,5 Mile Radius
1029 Newpark Mall Rd,Breakfast & Brunch,American (Traditional),Cocktail Bars,,Newark,1675.3107806553955,Jack's Restaurant & Bar,False,$$,4.0,666,CA,2.5 Mile Radius
3339 Walnut Ave,Italian,Wine Bars,,,Fremont,1754.9645218936898,Ristorante il porcino,False,$$,3.5,581,CA,2.5 Mile Radius
46164 Warm Springs Blvd,Cocktail Bars,American (New),Gastropubs,,Fremont,6813.106118179459,Little by Little,False,$$,4.5,202,CA,5 Mile Radius
42011 Boscell Rd,Dance Clubs,Bars,Venues & Event Spaces,,Fremont,3052.469466510446,The Saddle Rack,False,$$,3.5,697,CA,2.5 Mile Radius
3340 Mowry Ave,Barbeque,American (Traditional),Bars,,Fremont,1944.8070726960445,Smoking Pig BBQ,False,$$,3.0,927,CA,2.5 Mile Radius
37381 Fremont Blvd,Hookah Bars,Tobacco Shops,,,Fremont,3048.185763505421,Dream Hookah Lounge,False,$$,4.5,152,CA,2.5 Mile Radius
5660 Thornton Ave,Sports Bars,,,,Newark,3534.482815559073,O'Sullivan's Sports Bar,False,$$,4.5,342,CA,2.5 Mile Radius
6038 Stevenson Blvd,Korean,Asian Fusion,Cocktail Bars,,Fremont,1845.0746251061998,Soo Ja Fusion Bistro,False,$$,4.0,192,CA,2.5 Mile Radius
39176 Argonaut Way,Sports Bars,Breweries,,,Fremont,985.8901143987,Jack's Brewing Company,False,$$,3.5,421,CA,2.5 Mile Radius
5200 Mowry Ave,"Beer, Wine & Spirits",Beer Bar,,,Fremont,1127.095225264795,Cork 'n Bottle Liquors,False,$$,4.5,69,CA,2.5 Mile Radius
40675 Grimmer Blvd,Hookah Bars,,,,Fremont,1735.2973445224115,Fire N Ice Hookah Lounge,False,$,4.0,123,CA,2.5 Mile Radius
1596 Washington Blvd,Wine Bars,Tapas/Small Plates,Music Venues,,Fremont,4374.996386951227,Flight Wine Bar & Cafe,False,$$,3.5,223,CA,5 Mile Radius
3714 Peralta Blvd,Dive Bars,Music Venues,,,Fremont,3067.1804224099687,Mojo Lounge,False,$,3.5,190,CA,2.5 Mile Radius
39941 Mission Blvd,Hookah Bars,Lounges,Sports Bars,,Fremont,3853.5207518295533,Bijan Hookah Lounge,False,$$,4.0,101,CA,2.5 Mile Radius
1784 Decoto Rd,Bars,Asian Fusion,,,Union City,6529.20713384725,Bar Bay Grill,False,$$,4.0,449,CA,5 Mile Radius
47966 Warm Springs Blvd,Chinese,Cocktail Bars,,,Fremont,8704.013004041755,Ho Chow Restaurant,False,$$,3.5,307,CA,7.5 Mile Radius
39195 Farwell Dr,Indian,Venues & Event Spaces,Bars,,Fremont,1093.3952667721983,Sakoon Restaurant,False,$$,3.0,388,CA,2.5 Mile Radius
6185 Jarvis Ave,Korean,Asian Fusion,Sports Bars,,Newark,5843.374813059364,Cham Sae Bistro,False,$$,4.0,333,CA,5 Mile Radius
2025 Newpark Mall,Wine Bars,Tapas/Small Plates,American (New),,Newark,1678.8153899624099,Vinum Bar,False,$$,3.5,121,CA,2.5 Mile Radius
37349 Niles Blvd,Dive Bars,,,,Fremont,4690.588822880835,Florence Bar,False,$,4.0,56,CA,5 Mile Radius
39131 Fremont Blvd,American (Traditional),Tex-Mex,Bars,,Fremont,1311.0836319782468,Chili's,False,$$,2.5,357,CA,2.5 Mile Radius
36665 Cedar Blvd,Indian,Bars,Venues & Event Spaces,,Newark,3868.625532556831,Urban Spice,False,$$,4.0,147,CA,2.5 Mile Radius
29200 Kohoutek Way,Sports Bars,American (New),,,Union City,11749.55279046286,Chaplin's Sports Bistro,False,$$,4.0,494,CA,7.5 Mile Radius
1530 Washington Blvd,Mexican,Bars,,,Fremont,4457.763206440497,Cantaritos Restaurant & Bar,False,$$,3.5,62,CA,5 Mile Radius
Pacific Commons Shopping Center,Chicken Wings,Sports Bars,American (Traditional),,Fremont,4019.414324730567,Buffalo Wild Wings,False,$$,2.0,601,CA,2.5 Mile Radius
40968 Fremont Blvd,Sports Bars,,,,Fremont,2383.548814036662,Coach's Sports Bar,False,$,3.5,92,CA,2.5 Mile Radius
32216 Dyer St,Beer Bar,American (New),,,Union City,10146.57531633202,Pacific PourHouse,False,$$,4.0,359,CA,7.5 Mile Radius
42312 Fremont Blvd,Sports Bars,Dive Bars,,,Fremont,2932.898796516136,Kirby's Sports Bar,False,$,3.5,90,CA,2.5 Mile Radius
39139 Farwell Dr,American (Traditional),Sports Bars,Burgers,,Fremont,1123.4216214259397,Applebee's Grill + Bar,False,$$,2.0,250,CA,2.5 Mile Radius
39900 Balentine Dr,American (New),Lounges,,,Newark,1533.1850631425955,Bistro 880,False,$$,3.5,75,CA,2.5 Mile Radius
