city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Sunnyvale city,Sunnyvale, California,CA,140502,143944,146757,148411,150120,151855,153797,153656
Pomona city,Pomona, California,CA,149096,149788,150656,151276,152405,152561,152697,152939
Escondido city,Escondido, California,CA,144464,146225,147834,149111,150085,151119,151717,151969
Torrance city,Torrance, California,CA,145300,146038,146693,147185,147450,147630,147187,146758
Pasadena city,Pasadena, California,CA,137170,137826,138428,139699,140027,141601,142279,142647
Orange city,Orange, California,CA,136794,138329,139299,139964,139480,140611,140746,140560
Fullerton city,Fullerton, California,CA,135333,136531,138388,138977,139243,140437,140968,140392
Roseville city,Roseville, California,CA,119809,122653,124424,126801,128456,130118,132873,135329
Visalia city,Visalia, California,CA,124816,125726,126629,127590,128805,129735,131096,133010
Concord city,Concord, California,CA,122521,123588,124840,126088,127346,128464,129172,129783
Thousand Oaks city,Thousand Oaks, California,CA,126754,127452,127898,128528,129004,129098,129038,128995
Santa Clara city,Santa Clara, California,CA,116838,117994,119646,120822,122304,126274,126697,127134
Simi Valley city,Simi Valley, California,CA,124495,125156,125524,126179,126611,126589,126518,126878
Victorville city,Victorville, California,CA,116322,118009,120040,120968,121418,121817,122096,122441
Berkeley city,Berkeley, California,CA,112893,114034,115476,117141,118925,120905,121672,122324
Vallejo city,Vallejo, California,CA,116196,116827,117799,118789,119913,120887,121376,122105
Fairfield city,Fairfield, California,CA,105557,106257,107579,109255,110913,112642,114776,116266
El Monte city,El Monte, California,CA,113659,114174,115044,115663,115947,116191,115983,116109
Carlsbad city,Carlsbad, California,CA,105936,107799,109394,111154,112148,113250,113920,115330
Temecula city,Temecula, California,CA,100755,102746,104470,106289,108926,111418,112673,114327
Costa Mesa city,Costa Mesa, California,CA,110168,111099,111819,112299,112558,112889,113018,113825
Murrieta city,Murrieta, California,CA,104123,105330,106551,107462,108191,109571,111719,113326
Downey city,Downey, California,CA,111807,112335,112829,113165,113469,113693,113402,113092
Antioch city,Antioch, California,CA,103106,104266,105714,107538,109278,110464,111224,111674
San Buenaventura (Ventura) city,San Buenaventura (Ventura), California,CA,107476,108440,109236,109622,109869,110093,110404,110790
Inglewood city,Inglewood, California,CA,109710,110647,111139,111288,111246,111154,110800,110598
Richmond city,Richmond, California,CA,103668,104964,106182,107276,108130,109221,109802,110040
Clovis city,Clovis, California,CA,96261,97515,98640,99735,102056,104014,106550,109691
West Covina city,West Covina, California,CA,106156,106843,107329,107653,107824,107969,107935,107598
Daly City city,Daly City, California,CA,101293,102558,104116,105217,106163,106773,107112,107074
Santa Maria city,Santa Maria, California,CA,99714,100440,101393,102392,103404,104876,106302,107014
Norwalk city,Norwalk, California,CA,105570,106011,106210,106410,106540,106644,106314,106084
Jurupa Valley city,Jurupa Valley, California,CA,95625,97274,98495,99643,100276,101669,103440,106028
Burbank city,Burbank, California,CA,103396,103864,104331,104666,104785,104908,104599,104834
San Mateo city,San Mateo, California,CA,97425,98622,100023,101565,102973,103754,104603,104748
El Cajon city,El Cajon, California,CA,99771,100813,101645,102441,102969,103445,103793,103894
