city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Marietta city,Marietta, Georgia,GA,56836,57550,58379,59014,59836,60180,60966,61048
Smyrna city,Smyrna, Georgia,GA,51318,51875,52590,53337,54769,55978,56600,56685
Valdosta city,Valdosta, Georgia,GA,54975,55796,57178,56105,56341,55851,55819,56085
Stonecrest city,Stonecrest, Georgia,GA,50256,50817,51642,52159,52768,53541,54148,54471
Brookhaven city,Brookhaven, Georgia,GA,49372,49914,50713,51216,51807,52554,52909,53518
Urban Honolulu CDP,Honolulu, Hawaii,HI,339088,342728,346171,349046,350183,352461,351859,350395
Boise City city,Boise City, Idaho,ID,208579,211430,214600,216358,218437,219724,223361,226570
Meridian city,Meridian, Idaho,ID,76719,78927,81369,84336,88443,91360,95436,99926
Nampa city,Nampa, Idaho,ID,81945,82637,83830,86229,87760,89356,90917,93590
Idaho Falls city,Idaho Falls, Idaho,ID,57258,57763,58115,58288,58581,59092,60005,61076
Pocatello city,Pocatello, Idaho,ID,54335,54673,54758,54446,54410,54650,54718,55193
Caldwell city,Caldwell, Idaho,ID,46516,47238,47657,48908,50076,51481,53039,54660
Coeur d'Alene city,Coeur d'Alene, Idaho,ID,44281,44983,45505,46236,47631,48769,49836,50665
Cicero town,Cicero, Illinois,IL,84270,84391,84531,84561,84377,83902,83323,82552
Arlington Heights village,Arlington Heights, Illinois,IL,75261,75491,75889,76086,76136,76014,75908,75634
Bolingbrook village,Bolingbrook, Illinois,IL,73479,73772,73955,73926,74082,74213,74496,75201
Schaumburg village,Schaumburg, Illinois,IL,74295,74507,74740,74872,74885,74670,74692,74184
Palatine village,Palatine, Illinois,IL,68616,68850,69139,69347,69414,69326,69047,68644
Skokie village,Skokie, Illinois,IL,64895,65053,65220,65300,65215,64913,64529,63978
Orland Park village,Orland Park, Illinois,IL,56725,56995,57266,58503,58644,58609,59059,58765
Tinley Park village,Tinley Park, Illinois,IL,56883,57055,57243,57348,57360,57219,57006,56668
Oak Lawn village,Oak Lawn, Illinois,IL,56734,56892,57052,57143,57092,56837,56524,56087
Normal town,Normal, Illinois,IL,52635,53075,53964,54576,54402,54172,54251,54284
Mount Prospect village,Mount Prospect, Illinois,IL,54226,54371,54527,54705,54891,54680,54368,53930
Oak Park village,Oak Park, Illinois,IL,51901,51986,52076,52231,52129,52425,52132,52261
Hoffman Estates village,Hoffman Estates, Illinois,IL,51941,52115,52278,52365,52325,52107,51895,51567
Chicago city,Chicago, Illinois,IL,2697661,2706670,2717989,2724482,2726533,2725154,2720275,2716450
Aurora city,Aurora, Illinois,IL,198195,199086,199671,199919,200345,200566,201228,200965
Joliet city,Joliet, Illinois,IL,147827,148039,148383,148081,147967,147861,148300,148462
Naperville city,Naperville, Illinois,IL,142369,143108,143926,144809,146117,146909,147194,147682
Rockford city,Rockford, Illinois,IL,153166,152108,151253,150584,149371,148465,147800,147051
Springfield city,Springfield, Illinois,IL,116603,117217,117352,117037,116830,116515,115734,114868
Peoria city,Peoria, Illinois,IL,114934,115326,115669,116479,115869,115171,114351,112883
Elgin city,Elgin, Illinois,IL,108322,109132,109671,110170,111108,112124,112517,112456
Waukegan city,Waukegan, Illinois,IL,89139,88946,88773,88883,88790,88380,88219,87729
Champaign city,Champaign, Illinois,IL,81424,82209,83011,83813,84613,85808,86877,87432
Bloomington city,Bloomington, Illinois,IL,76816,77215,77893,79091,78703,78202,78181,77934
Evanston city,Evanston, Illinois,IL,74594,75108,75699,75957,76007,75695,75338,74756
Decatur city,Decatur, Illinois,IL,76140,75944,75473,74980,74219,73388,72805,72174
Des Plaines city,Des Plaines, Illinois,IL,58462,58697,58956,59086,59093,58831,58510,58193
Berwyn city,Berwyn, Illinois,IL,56676,56761,56863,56889,56770,56455,56067,55550
Wheaton city,Wheaton, Illinois,IL,53062,53346,53507,53695,53714,53698,53488,53373
Indianapolis city (balance),Indianapolis, Indiana,IN,821473,827618,835176,844496,849970,854051,857453,863002
Fort Wayne city,Fort Wayne, Indiana,IN,254102,256132,257416,259178,260502,262272,263893,265904
Evansville city,Evansville, Indiana,IN,120092,120201,120355,120464,120365,119888,119357,118930
South Bend city,South Bend, Indiana,IN,101185,101180,100984,101161,101445,101733,102022,102245
Carmel city,Carmel, Indiana,IN,79767,81635,83556,85830,86454,87896,90861,92198
Fishers city,Fishers, Indiana,IN,77802,80447,82316,84370,86860,88743,89903,91832
Bloomington city,Bloomington, Indiana,IN,80602,81489,82126,82415,83311,83636,84400,85071
Hammond city,Hammond, Indiana,IN,80714,80181,79625,78996,78561,77735,77230,76618
Gary city,Gary, Indiana,IN,80211,79706,79192,78597,78085,77267,76595,76008
Lafayette city,Lafayette, Indiana,IN,68896,69788,69937,70780,70822,71137,71941,72390
Muncie city,Muncie, Indiana,IN,70178,70370,69714,69673,69586,69148,68907,68625
Noblesville city,Noblesville, Indiana,IN,52720,54044,55325,56649,57557,58638,60215,61882
Terre Haute city,Terre Haute, Indiana,IN,60781,60963,61129,60867,60730,60547,60602,60774
Kokomo city,Kokomo, Indiana,IN,58062,58063,58061,58051,58000,57834,57657,57836
Greenwood city,Greenwood, Indiana,IN,51224,52073,52838,53700,54482,55307,56368,57375
Anderson city,Anderson, Indiana,IN,56147,55876,55521,55550,55345,55121,55094,55076
Elkhart city,Elkhart, Indiana,IN,51860,51940,52013,52187,52329,52583,52567,52558
Des Moines city,Des Moines, Iowa,IA,204902,207442,209956,211551,213887,215152,216582,217521
Cedar Rapids city,Cedar Rapids, Iowa,IA,126693,127951,128219,128518,129319,130495,131051,132228
Davenport city,Davenport, Iowa,IA,99663,100227,101106,101964,102343,102410,102385,102320
Sioux City city,Sioux City, Iowa,IA,82822,83009,82656,82526,82449,82627,82759,82514
Iowa City city,Iowa City, Iowa,IA,67994,68943,69977,71154,72459,73253,74407,75798
Waterloo city,Waterloo, Iowa,IA,68397,68399,68396,68525,68437,68377,67868,67587
Ames city,Ames, Iowa,IA,59058,60199,61230,62763,64429,65474,65838,66498
West Des Moines city,West Des Moines, Iowa,IA,56858,57559,58126,59704,61798,63487,64587,65608
Ankeny city,Ankeny, Iowa,IA,45837,47038,48358,50778,53297,56114,58639,62416
Council Bluffs city,Council Bluffs, Iowa,IA,62368,62487,62137,62069,62338,62511,62425,62316
Dubuque city,Dubuque, Iowa,IA,57682,57931,58137,58444,58517,58548,58228,58276
Wichita city,Wichita, Kansas,KS,382743,383663,385720,387178,388333,389081,390116,390591
Overland Park city,Overland Park, Kansas,KS,174037,175967,178649,180892,183942,185953,188867,191278
Kansas City city,Kansas City, Kansas,KS,145907,146257,147559,148923,150010,151241,152159,152938
Olathe city,Olathe, Kansas,KS,126255,128265,129927,131757,132799,134092,135601,137472
Topeka city,Topeka, Kansas,KS,127909,128189,128066,127692,127420,127259,126787,126587
Lawrence city,Lawrence, Kansas,KS,88096,89067,89881,91061,92625,93830,95363,96892
Shawnee city,Shawnee, Kansas,KS,62319,62994,63551,64225,64432,64894,65210,65513
Manhattan city,Manhattan, Kansas,KS,52534,54093,56530,56009,55543,56113,54772,54832
Lenexa city,Lenexa, Kansas,KS,48306,48861,49356,50280,50925,52371,52918,53553
Louisville/Jefferson County metro government (balance),Louisville, Kentucky,KY,596990,600444,604588,610031,612679,615435,618030,621349
Lexington-Fayette urban county,Lexington-Fayette, Kentucky,KY,296702,301368,305303,308591,310886,315055,319052,321959
Bowling Green city,Bowling Green, Kentucky,KY,59238,59835,60718,61987,62741,64126,65539,67067
Owensboro city,Owensboro, Kentucky,KY,57465,57714,58105,58291,58337,58891,59121,59404
New Orleans city,New Orleans, Louisiana,LA,347824,360661,370080,379125,384763,390711,393021,393292
Baton Rouge city,Baton Rouge, Louisiana,LA,229514,228699,229144,228702,228435,227864,227352,225374
Shreveport city,Shreveport, Louisiana,LA,200884,201747,201848,199999,197852,196649,194394,192036
Lafayette city,Lafayette, Louisiana,LA,121770,122525,123536,124837,126092,127068,127429,126848
Lake Charles city,Lake Charles, Louisiana,LA,72167,72477,73282,73487,74125,75290,76044,77117
Bossier City city,Bossier City, Louisiana,LA,61981,63348,65241,65985,66910,68037,68071,68554
Kenner city,Kenner, Louisiana,LA,66723,66883,66953,67051,67080,67234,67449,67451
Portland city,Portland, Maine,ME,66086,66164,66267,66385,66661,66777,66892,66882
Baltimore city,Baltimore, Maryland,MD,621026,620839,623387,623280,624062,623031,616958,611648
Frederick city,Frederick, Maryland,MD,65478,66007,66479,66952,68433,69555,70180,71408
Gaithersburg city,Gaithersburg, Maryland,MD,60183,61537,63148,65894,66834,67459,68158,68710
Rockville city,Rockville, Maryland,MD,61492,62146,63262,63880,65596,66954,67331,68401
Bowie city,Bowie, Maryland,MD,55494,56103,56687,57279,57972,58455,58699,58859
Boston city,Boston, Massachusetts,MA,620702,630072,641955,652039,661103,669255,678430,685094
Worcester city,Worcester, Massachusetts,MA,181830,182457,182627,183421,184592,184873,185119,185677
Springfield city,Springfield, Massachusetts,MA,153604,153878,154021,154173,154566,154954,154565,154758
Cambridge city,Cambridge, Massachusetts,MA,105028,105906,106298,108026,110056,110516,112183,113630
Lowell city,Lowell, Massachusetts,MA,106739,107726,108816,109971,110600,111341,111472,111346
Brockton city,Brockton, Massachusetts,MA,93796,94110,94030,94377,94839,95434,95373,95672
New Bedford city,New Bedford, Massachusetts,MA,95052,94896,95010,95103,95159,95166,95143,95120
Quincy city,Quincy, Massachusetts,MA,92455,92548,92956,93474,93661,93758,94053,94166
Lynn city,Lynn, Massachusetts,MA,90521,90704,91415,92022,92547,93261,93420,94063
Fall River city,Fall River, Massachusetts,MA,88873,88823,88857,89023,89180,89367,89355,89420
Newton city,Newton, Massachusetts,MA,85334,85786,87034,87636,88311,88730,88742,88994
Somerville city,Somerville, Massachusetts,MA,75826,76656,77610,78706,79015,79832,81106,81360
Lawrence city,Lawrence, Massachusetts,MA,76575,77291,77926,78416,79201,79784,79922,80162
Haverhill city,Haverhill, Massachusetts,MA,60989,61499,61843,62270,62587,62896,63252,63639
Waltham city,Waltham, Massachusetts,MA,60859,61351,62047,62430,63139,63096,63052,62442
Malden city,Malden, Massachusetts,MA,59592,60030,60524,60984,61176,61416,61336,61246
Medford city,Medford, Massachusetts,MA,56311,56730,57193,57442,57513,57823,57876,57797
Taunton city,Taunton, Massachusetts,MA,55898,55927,56052,56184,56737,56914,57002,57139
Weymouth Town city,Weymouth Town, Massachusetts,MA,53823,54177,55045,55450,55693,55777,55865,56664
Chicopee city,Chicopee, Massachusetts,MA,55287,55566,55762,55864,56236,55853,55434,55515
Revere city,Revere, Massachusetts,MA,51844,52621,53182,53643,53682,53960,53958,53993
Peabody city,Peabody, Massachusetts,MA,51377,51614,51878,52215,52447,52658,52804,52987
Methuen Town city,Methuen Town, Massachusetts,MA,47360,47717,48036,48626,49292,49745,49915,50259
Detroit city,Detroit, Michigan,MI,711043,704640,699385,690845,681499,678250,675480,673104
Grand Rapids city,Grand Rapids, Michigan,MI,187992,189008,190617,192725,194054,194847,196251,198829
Warren city,Warren, Michigan,MI,134060,134060,134418,135078,135428,135197,135030,135022
Sterling Heights city,Sterling Heights, Michigan,MI,129704,129947,130520,131309,131919,131875,132334,132631
Ann Arbor city,Ann Arbor, Michigan,MI,114093,115345,115787,116413,118308,119624,120713,121477
Lansing city,Lansing, Michigan,MI,114270,114317,114280,114236,114497,114731,115797,116986
Flint city,Flint, Michigan,MI,102024,101220,100187,99423,98548,97738,96985,96448
Dearborn city,Dearborn, Michigan,MI,97845,97115,96775,95929,95822,95327,94819,94491
Livonia city,Livonia, Michigan,MI,96705,96167,95901,95187,95163,94767,94359,94105
Troy city,Troy, Michigan,MI,81014,81530,82094,82766,83108,83219,83717,83813
Westland city,Westland, Michigan,MI,83948,83461,83237,82531,82489,82171,81907,81747
Farmington Hills city,Farmington Hills, Michigan,MI,79743,80215,80737,81242,81446,81253,81182,81050
Wyoming city,Wyoming, Michigan,MI,72131,72694,73428,74203,74866,75201,75542,75938
Kalamazoo city,Kalamazoo, Michigan,MI,74334,74658,75478,75708,76022,75791,75766,75807
Rochester Hills city,Rochester Hills, Michigan,MI,71039,71597,72306,72913,73115,73392,73532,74205
Southfield city,Southfield, Michigan,MI,71760,72131,72548,73128,73409,73152,73165,73208
Taylor city,Taylor, Michigan,MI,62978,62593,62397,61869,61970,61675,61435,61276
Pontiac city,Pontiac, Michigan,MI,59618,59763,60107,60218,60202,60004,59894,59792
Novi city,Novi, Michigan,MI,55280,55970,56918,57953,58426,58722,59348,59715
St. Clair Shores city,St. Clair Shores, Michigan,MI,59754,59745,59906,60076,59976,59831,59700,59635
Royal Oak city,Royal Oak, Michigan,MI,57253,58141,58480,58860,58984,58930,59051,59112
Dearborn Heights city,Dearborn Heights, Michigan,MI,57636,57243,57053,56572,56505,56230,55965,55758
Kentwood city,Kentwood, Michigan,MI,48735,49169,49706,50295,50796,51309,51679,51747
Battle Creek city,Battle Creek, Michigan,MI,52303,51955,51810,51708,51684,51474,51369,51286
Saginaw city,Saginaw, Michigan,MI,51387,51021,50725,50261,49773,49201,48869,48677
Minneapolis city,Minneapolis, Minnesota,MN,383074,388086,392953,400464,407395,411426,415622,422331
St. Paul city,St. Paul, Minnesota,MN,285441,288898,291504,295369,297928,300377,303637,306621
Rochester city,Rochester, Minnesota,MN,107011,108071,108915,110456,111186,112089,113964,115733
Duluth city,Duluth, Minnesota,MN,86189,86226,86150,86038,86101,86002,86101,86066
Bloomington city,Bloomington, Minnesota,MN,83038,83945,84908,85167,85126,85273,85572,85866
Brooklyn Park city,Brooklyn Park, Minnesota,MN,75965,76890,77943,78550,78881,79330,79972,80581
Plymouth city,Plymouth, Minnesota,MN,70710,71704,73134,74166,75236,76104,77447,78395
Maple Grove city,Maple Grove, Minnesota,MN,61780,63204,64537,65512,67024,68477,69784,71066
Woodbury city,Woodbury, Minnesota,MN,62249,63550,64470,65545,66665,67532,68616,69756
St. Cloud city,St. Cloud, Minnesota,MN,65940,65886,65945,66120,66508,67223,67590,67984
Eagan city,Eagan, Minnesota,MN,64200,64494,64902,65445,66017,66210,66302,66627
Blaine city,Blaine, Minnesota,MN,57406,58188,59448,60537,61442,62446,63335,64557
Eden Prairie city,Eden Prairie, Minnesota,MN,60900,61673,62422,62738,63393,63669,64082,64400
Lakeville city,Lakeville, Minnesota,MN,56160,56714,57490,58738,59999,60802,62000,63748
Coon Rapids city,Coon Rapids, Minnesota,MN,61531,61550,61960,62083,62190,62310,62452,62656
Burnsville city,Burnsville, Minnesota,MN,60379,60645,60876,61170,61318,61186,61278,61439
Minnetonka city,Minnetonka, Minnesota,MN,49797,50651,51257,51492,51600,51790,52519,53085
Apple Valley city,Apple Valley, Minnesota,MN,49155,49506,49749,49964,50221,50962,51938,52435
Edina city,Edina, Minnesota,MN,48038,48691,49224,49550,49744,50297,51500,51958
Jackson city,Jackson, Mississippi,MS,173728,175087,174778,172872,171930,170752,169005,166965
Gulfport city,Gulfport, Mississippi,MS,67897,68810,69740,70759,71109,71262,71523,71822
Southaven city,Southaven, Mississippi,MS,49119,49719,50371,50944,51681,52442,53107,54031
Kansas City city,Kansas City, Missouri,MO,460734,462219,464588,467372,470941,475310,482118,488943
St. Louis city,St. Louis, Missouri,MO,319365,319102,319363,318575,317732,316257,313144,308626
Springfield city,Springfield, Missouri,MO,159476,160273,161975,163806,164870,166201,166681,167376
Columbia city,Columbia, Missouri,MO,109403,111355,113466,115415,117020,118565,120412,121717
Independence city,Independence, Missouri,MO,116871,116861,117300,117310,117581,117315,117365,117306
Lee's Summit city,Lee's Summit, Missouri,MO,91521,91884,92370,92998,93796,94927,96134,97290
O'Fallon city,O'Fallon, Missouri,MO,79854,81050,82039,83072,84174,85030,86477,87597
St. Joseph city,St. Joseph, Missouri,MO,76676,77169,77331,77254,77046,76633,76740,76442
St. Charles city,St. Charles, Missouri,MO,66300,66508,66879,68058,68477,69022,69327,70329
St. Peters city,St. Peters, Missouri,MO,52773,53366,54028,54802,55990,56714,57151,57178
Blue Springs city,Blue Springs, Missouri,MO,52680,52761,53002,53191,53526,54054,54462,54945
Joplin city,Joplin, Missouri,MO,50898,51145,50233,50661,51173,51548,51973,52288
Florissant city,Florissant, Missouri,MO,52272,52434,52409,52320,52239,52116,51712,51443
Billings city,Billings, Montana,MT,104514,105440,106776,108485,108350,109506,109482,109642
Missoula city,Missoula, Montana,MT,66962,67551,68380,68803,69530,70592,72003,73340
Great Falls city,Great Falls, Montana,MT,59212,59361,59246,59477,59296,59226,58845,58876
Omaha city,Omaha, Nebraska,NB,450044,452663,455962,458910,460992,463421,465233,466893
Lincoln city,Lincoln, Nebraska,NB,259169,262498,265764,269192,274019,277387,281236,284736
Bellevue city,Bellevue, Nebraska,NB,51648,51874,52425,52816,52712,52979,53290,53424
Grand Island city,Grand Island, Nebraska,NB,48824,49448,49981,50431,50974,51098,51332,51390
Las Vegas city,Las Vegas, Nevada,NV,584752,588044,595438,602227,611503,621481,631710,641676
Henderson city,Henderson, Nevada,NV,257567,259434,264287,269529,275920,284087,292005,302539
Reno city,Reno, Nevada,NV,225767,227492,229556,231768,235101,239203,243698,248853
North Las Vegas city,North Las Vegas, Nevada,NV,216889,218821,222663,226355,230019,234062,238495,242975
Sparks city,Sparks, Nevada,NV,91209,91716,92585,93559,94891,96132,98622,100888
Carson City,Carson, Nevada,NV,54988,54703,54362,53791,54155,54123,54283,54745
Manchester city,Manchester, New Hampshire,NH,109627,109853,110272,110314,110421,110295,110747,111196
Nashua city,Nashua, New Hampshire,NH,86578,86672,86644,86979,87241,87696,87929,88341
West New York town,West New York, New Jersey,NJ,49897,50747,51371,52041,52597,53773,54014,54227
Newark city,Newark, New Jersey,NJ,277332,278078,278790,280005,281660,282854,284386,285154
Jersey City city,Jersey City, New Jersey,NJ,248639,254094,258703,261109,264009,266286,267446,270753
Paterson city,Paterson, New Jersey,NJ,146499,145981,146944,147313,147605,147829,148031,148678
Elizabeth city,Elizabeth, New Jersey,NJ,125343,126108,127266,128307,129062,129315,129882,130215
Clifton city,Clifton, New Jersey,NJ,84201,84888,85153,85597,86095,86320,86414,86607
Trenton city,Trenton, New Jersey,NJ,85024,85011,85030,85138,84937,84621,84635,84964
Camden city,Camden, New Jersey,NJ,77010,77306,77058,76728,76219,75826,74513,74532
Passaic city,Passaic, New Jersey,NJ,69906,70325,70361,70671,71040,71137,71148,71247
Union City city,Union City, New Jersey,NJ,66508,67736,68505,69250,69680,69680,70167,70387
Bayonne city,Bayonne, New Jersey,NJ,63125,64250,64911,65737,66727,66825,67076,67186
East Orange city,East Orange, New Jersey,NJ,64203,64494,64500,64719,64962,65255,65359,65378
Vineland city,Vineland, New Jersey,NJ,60829,61047,61080,61081,61138,60867,60653,60392
New Brunswick city,New Brunswick, New Jersey,NJ,54925,55452,55745,56411,56574,56802,57082,57073
Hoboken city,Hoboken, New Jersey,NJ,50100,50989,51981,52948,53509,54033,55044,55131
Perth Amboy city,Perth Amboy, New Jersey,NJ,50945,51287,51900,52250,52546,52518,52690,52823
Plainfield city,Plainfield, New Jersey,NJ,49810,50051,50349,50741,50980,51231,51140,51327
Albuquerque city,Albuquerque, New Mexico,NM,546866,551335,553998,555499,555793,556205,557509,558545
Las Cruces city,Las Cruces, New Mexico,NM,98352,100143,100906,100877,100885,100738,100973,101712
Rio Rancho city,Rio Rancho, New Mexico,NM,87944,89413,90350,91221,91852,92980,94346,96159
Santa Fe city,Santa Fe, New Mexico,NM,81030,81621,82022,82339,82594,82880,83287,83776
Hempstead village,Hempstead, New York,NY,54074,54221,55068,55625,55705,55700,55735,55806
New York city,New York, New York,NY,8193703,8292688,8383504,8458642,8521135,8582459,8615426,8622698
Buffalo city,Buffalo, New York,NY,261385,260930,260534,260630,260463,259522,258463,258612
Rochester city,Rochester, New York,NY,210480,210859,210868,210900,210228,209511,208710,208046
Yonkers city,Yonkers, New York,NY,196454,197852,198532,199606,200484,201111,201738,202019
Syracuse city,Syracuse, New York,NY,145283,144664,144641,145406,144815,144400,143941,143396
Albany city,Albany, New York,NY,97756,98025,98550,98734,98673,98478,98387,98251
New Rochelle city,New Rochelle, New York,NY,77245,77802,78525,79605,79792,79987,80108,79946
Mount Vernon city,Mount Vernon, New York,NY,67416,67846,68021,68435,68610,68787,68824,68703
Schenectady city,Schenectady, New York,NY,66156,66131,66151,65952,65968,65659,65268,65625
Utica city,Utica, New York,NY,62210,62061,61906,61761,61424,61065,60716,60635
White Plains city,White Plains, New York,NY,56970,57272,57413,57914,58077,58455,58499,59047
Troy city,Troy, New York,NY,50084,50031,49879,49973,50038,49882,49703,49565
Niagara Falls city,Niagara Falls, New York,NY,50139,49902,49677,49490,49252,48941,48687,48460
Cary town,Cary, North Carolina,NC,136943,142244,146199,151366,155428,159725,162478,165904
Chapel Hill town,Chapel Hill, North Carolina,NC,57395,57420,58702,58852,59125,59117,59283,59862
Huntersville town,Huntersville, North Carolina,NC,46957,48095,49337,50573,51633,52867,55155,56212
Apex town,Apex, North Carolina,NC,37803,38850,40509,42229,43928,45540,47439,50451
Charlotte city,Charlotte, North Carolina,NC,738500,755807,774253,792874,808320,826710,843484,859035
Raleigh city,Raleigh, North Carolina,NC,406337,414383,423521,431470,439784,449963,459048,464758
Greensboro city,Greensboro, North Carolina,NC,269581,272624,276222,279482,282476,285034,287018,290222
Durham city,Durham, North Carolina,NC,229177,234071,239843,245625,252003,257389,263138,267743
Winston-Salem city,Winston-Salem, North Carolina,NC,230047,232066,234023,235918,238726,240008,241805,244605
Fayetteville city,Fayetteville, North Carolina,NC,208318,208765,208877,211033,210089,209714,210934,209889
Wilmington city,Wilmington, North Carolina,NC,106713,108134,109682,111708,113384,115126,116985,119045
High Point city,High Point, North Carolina,NC,104677,105838,106607,107614,108811,110305,111214,111513
Greenville city,Greenville, North Carolina,NC,84950,86141,87510,88749,89179,90473,91196,92156
Concord city,Concord, North Carolina,NC,79482,80661,82095,83394,85404,87449,89720,92067
Asheville city,Asheville, North Carolina,NC,83403,84391,85276,86317,87828,89347,91190,91902
Gastonia city,Gastonia, North Carolina,NC,71725,71921,72540,72851,73263,74136,75125,76593
Jacksonville city,Jacksonville, North Carolina,NC,77854,74955,76122,75418,73959,74021,72444,72447
Rocky Mount city,Rocky Mount, North Carolina,NC,57696,57429,56780,56355,55950,55108,54979,54523
Burlington city,Burlington, North Carolina,NC,50977,51009,51050,51182,51365,51762,52123,53077
Fargo city,Fargo, North Dakota,ND,105935,107703,110237,113817,115803,118147,120356,122359
Bismarck city,Bismarck, North Dakota,ND,61562,62966,64931,67249,69012,71267,72332,72865
Grand Forks city,Grand Forks, North Dakota,ND,53004,52686,53522,54871,55851,56567,56834,57056
Columbus city,Columbus, Ohio,OH,790812,800388,812275,825906,839646,852305,863741,879170
Cleveland city,Cleveland, Ohio,OH,395978,392723,391596,391555,390653,389009,387451,385525
Cincinnati city,Cincinnati, Ohio,OH,296794,295990,296691,297451,298153,298860,299127,301301
Toledo city,Toledo, Ohio,OH,286994,285303,283062,282106,280500,279613,278606,276491
Akron city,Akron, Ohio,OH,198946,198967,198832,198721,198746,198265,197711,197846
Dayton city,Dayton, Ohio,OH,142330,141958,141856,141877,140973,140677,140743,140371
Parma city,Parma, Ohio,OH,81472,80982,80643,80412,80127,79998,79591,79167
Canton city,Canton, Ohio,OH,73073,72823,72791,72550,72283,71823,71294,70909
Youngstown city,Youngstown, Ohio,OH,66907,66573,66074,65469,65151,64704,64360,64604
Lorain city,Lorain, Ohio,OH,64071,63924,63735,63687,63728,63617,63700,63841
Hamilton city,Hamilton, Ohio,OH,62327,62300,62197,62218,62336,62255,62157,62092
Springfield city,Springfield, Ohio,OH,60573,60288,60100,59884,59739,59436,58902,59208
Kettering city,Kettering, Ohio,OH,56145,56007,55926,55757,55517,55339,55218,55175
Elyria city,Elyria, Ohio,OH,54497,54327,54166,54097,54067,53914,53880,53883
Lakewood city,Lakewood, Ohio,OH,52031,51667,51405,51224,51058,50780,50500,50249
Oklahoma City city,Oklahoma City, Oklahoma,OK,582253,590205,600204,611252,620892,631149,639163,643648
Tulsa city,Tulsa, Oklahoma,OK,392403,392768,394482,398294,399779,403060,403333,401800
Norman city,Norman, Oklahoma,OK,111385,113766,115521,118002,117567,119518,121317,122843
Broken Arrow city,Broken Arrow, Oklahoma,OK,99252,100153,102156,103597,104939,106767,107737,108303
Lawton city,Lawton, Oklahoma,OK,97854,98130,98185,96510,96338,95446,93763,93714
Edmond city,Edmond, Oklahoma,OK,81458,82849,84820,86897,88587,90063,91370,91950
Moore city,Moore, Oklahoma,OK,55397,56650,57782,58287,58949,60046,60976,61523
Midwest City city,Midwest City, Oklahoma,OK,54578,55335,56185,56804,57078,57244,57392,57308
Enid city,Enid, Oklahoma,OK,49502,49442,49901,50703,51041,51404,50785,50122
Portland city,Portland, Oregon,OR,585340,593965,602955,609059,619740,631731,641494,647805
Salem city,Salem, Oregon,OR,155030,155815,157073,158618,160505,163093,166378,169798
Eugene city,Eugene, Oregon,OR,156506,157153,157976,158248,160058,162815,165665,168916
Gresham city,Gresham, Oregon,OR,105993,107423,108503,109048,109832,110298,111420,111053
Hillsboro city,Hillsboro, Oregon,OR,92529,94014,96117,98031,99698,102496,104888,106894
Beaverton city,Beaverton, Oregon,OR,90146,91364,92388,93205,94632,95851,97422,97514
Bend city,Bend, Oregon,OR,76636,77518,78559,80852,83472,86242,90615,94520
Medford city,Medford, Oregon,OR,74990,75515,76069,76778,77692,79420,80557,81780
Springfield city,Springfield, Oregon,OR,59411,59728,59848,59916,60060,60370,61417,62353
Corvallis city,Corvallis, Oregon,OR,54393,54554,54950,54568,55362,56242,56945,57961
Albany city,Albany, Oregon,OR,50337,50921,50997,50930,51334,51651,52660,53503
Tigard city,Tigard, Oregon,OR,48302,49094,49687,50280,50590,51012,51768,53148
Philadelphia city,Philadelphia, Pennsylvania,PA,1528271,1539649,1551944,1558109,1564042,1570507,1574765,1580863
Pittsburgh city,Pittsburgh, Pennsylvania,PA,305405,306022,306469,307064,306181,304453,305017,302407
Allentown city,Allentown, Pennsylvania,PA,118111,118762,118926,118913,119320,120324,120670,121283
Erie city,Erie, Pennsylvania,PA,101758,101543,101322,100546,99721,99037,98289,97369
Reading city,Reading, Pennsylvania,PA,88123,88252,88234,88375,88281,88163,88207,88423
Scranton city,Scranton, Pennsylvania,PA,76089,75924,76022,75812,75400,77127,77199,77605
Bethlehem city,Bethlehem, Pennsylvania,PA,74995,75080,75089,74929,75057,75084,75402,75707
Lancaster city,Lancaster, Pennsylvania,PA,59335,59458,59462,59470,59518,59581,59646,59708
Providence city,Providence, Rhode Island,RI,178083,178300,178651,178480,179230,179408,179954,180393
Cranston city,Cranston, Rhode Island,RI,80445,80511,80656,80651,80963,81051,81065,81202
Warwick city,Warwick, Rhode Island,RI,82584,81970,81633,81490,81667,81070,80958,80871
Pawtucket city,Pawtucket, Rhode Island,RI,71208,71292,71438,71500,71662,71757,71867,72001
Mount Pleasant town,Mount Pleasant, South Carolina,SC,67965,69289,71660,74407,77395,81045,83856,86668
Summerville town,Summerville, South Carolina,SC,42886,43695,44425,45663,47072,48933,49045,50388
Charleston city,Charleston, South Carolina,SC,120338,122668,124894,126876,128981,131794,133859,134875
Columbia city,Columbia, South Carolina,SC,130184,130736,131179,130960,131208,132974,133514,133114
North Charleston city,North Charleston, South Carolina,SC,97963,99941,102163,104268,107017,109044,109732,110861
Rock Hill city,Rock Hill, South Carolina,SC,66559,67280,67819,68476,69357,70866,72108,73068
Greenville city,Greenville, South Carolina,SC,59301,59719,60078,60536,61349,63384,66928,68219
Sioux Falls city,Sioux Falls, South Dakota,SD,154542,156578,159776,163819,167445,170533,173322,176888
Rapid City city,Rapid City, South Dakota,SD,68620,69031,70153,71181,72453,72817,73407,74421
