Overall Rank,City,State,Combine,Total Score
138,Louisville,KY,LouisvilleKY,50.31
139,Norfolk,VA,NorfolkVA,49.97
140,Chattanooga,TN,ChattanoogaTN,49.94
141,Wichita,KS,WichitaKS,49.79
142,Worcester,MA,WorcesterMA,49.77
143,Rochester,NY,RochesterNY,49.76
144,San Bernardino,CA,San BernardinoCA,49.56
145,Buffalo,NY,BuffaloNY,49.22
146,Fresno,CA,FresnoCA,48.86
147,Milwaukee,WI,MilwaukeeWI,48.75
148,Baton Rouge,LA,Baton RougeLA,48.56
149,Stockton,CA,StocktonCA,48.35
150,Spokane,WA,SpokaneWA,48.08
151,Indianapolis,IN,IndianapolisIN,47.83
152,Fort Wayne,IN,Fort WayneIN,47.63
153,New Orleans,LA,New OrleansLA,47.57
154,North Las Vegas,NV,North Las VegasNV,47.19
155,Las Vegas,NV,Las VegasNV,47.02
156,Tulsa,OK,TulsaOK,46.5
157,Wilmington,DE,WilmingtonDE,46.32
158,Providence,RI,ProvidenceRI,45.81
159,New Haven,CT,New HavenCT,45.56
160,Montgomery,AL,MontgomeryAL,45.48
161,Baltimore,MD,BaltimoreMD,44.75
162,Jackson,MS,JacksonMS,44.7
163,Shreveport,LA,ShreveportLA,44.59
164,Memphis,TN,MemphisTN,44.45
165,Philadelphia,PA,PhiladelphiaPA,44.27
166,Columbus,GA,ColumbusGA,44.27
167,Fayetteville,NC,FayettevilleNC,44.17
168,Akron,OH,AkronOH,44.05
169,Cincinnati,OH,CincinnatiOH,43.5
170,Fort Smith,AR,Fort SmithAR,43.33
171,St. Louis,MO,St. LouisMO,42.85
172,Augusta,GA,AugustaGA,42.38
173,Mobile,AL,MobileAL,42.22
174,Newark,NJ,NewarkNJ,41.86
175,Huntington,WV,HuntingtonWV,41.58
176,Little Rock,AR,Little RockAR,41.4
177,Gulfport,MS,GulfportMS,41.06
178,Cleveland,OH,ClevelandOH,40.81
179,Birmingham,AL,BirminghamAL,40.78
180,Charleston,WV,CharlestonWV,39.68
181,Toledo,OH,ToledoOH,39.48
182,Detroit,MI,DetroitMI,29.19
