City,Density,Population,square miles
"Dayton, Ohio",2525,140489,56
"Daytona Beach, Florida",1141,66645,58
"Dearborn Heights, Michigan",4750,55761,12
"Dearborn, Michigan",3899,94444,24
"Decatur, Alabama",1026,55072,54
"Decatur, Illinois",1722,72706,42
"Deerfield Beach, Florida",5286,79764,15
"Delano, California",3686,52707,14
"Delray Beach, Florida",4261,67371,16
"Deltona, Florida",2401,90124,38
"Denton, Texas",1521,133808,88
"Denver, Colorado",4530,693060,153
"Des Moines, Iowa",2664,215472,81
"Des Plaines, Illinois",4071,58141,14
"DeSoto, Texas",2433,52599,22
"Detroit, Michigan",4849,672795,139
"Diamond Bar, California",3817,56793,15
"Doral, Florida",4175,57947,14
"Dothan, Alabama",766,68468,89
"Downey, California",9127,113267,12
"Dublin, California",3996,59583,15
"Dubuque, Iowa",1953,58531,30
"Duluth, Minnesota",1273,86293,68
"Durham, North Carolina",2450,263016,107
"Eagan, Minnesota",2135,66428,31
"East Orange, New Jersey",16528,64789,4
"Eastvale, California",5359,61151,11
"Eau Claire, Wisconsin",2133,68339,32
"Eden Prairie, Minnesota",1970,63914,32
"Edina, Minnesota",3324,51350,15
"Edinburg, Texas",2329,87650,38
"Edmond, Oklahoma",1077,91191,85
"El Cajon, California",7191,103768,14
"El Monte, California",12114,115807,10
"El Paso, Texas",2676,683080,255
"Elgin, Illinois",3017,112123,37
"Elizabeth, New Jersey",10442,128640,12
"Elk Grove, California",4023,169743,42
"Elkhart, Indiana",2227,52221,23
"Elyria, Ohio",2611,53715,21
"Encinitas, California",3356,63131,19
"Enid, Oklahoma",692,51004,74
"Erie, Pennsylvania",5167,98593,19
"Escondido, California",4119,151613,37
"Eugene, Oregon",3810,166575,44
"Euless, Texas",3379,54769,16
"Evanston, Illinois",9627,74895,8
"Evansville, Indiana",2706,119477,44
"Everett, Washington",3260,109043,33
"Fairfield, California",3069,114756,37
"Fall River, Massachusetts",2684,88930,33
"Fargo, North Dakota",2474,120762,49
"Farmington Hills, Michigan",2438,81129,33
"Fayetteville, Arkansas",1557,83826,54
"Fayetteville, North Carolina",1404,204759,146
"Federal Way, Washington",4347,96757,22
"Fishers, Indiana",2683,90127,34
