City,Density,Population,square miles
"West New York, New Jersey",52815,53343,1
"West Palm Beach, Florida",1956,108161,55
"West Sacramento, California",2472,52981,21
"West Valley City, Utah",3841,136574,36
"Westland, Michigan",3993,81545,20
"Westminster, California",9111,91565,10
"Westminster, Colorado",3609,113875,32
"Weston, Florida",2783,70015,25
"Weymouth Town, Massachusetts",3334,55972,17
"Wheaton, Illinois",4746,53389,11
"White Plains, New York",5961,58241,10
"Whittier, California",5931,86883,15
"Wichita Falls, Texas",1452,104724,72
"Wichita, Kansas",2448,389902,159
"Wilmington, Delaware",6554,71442,11
"Wilmington, North Carolina",2282,117525,51
"Winston-Salem, North Carolina",1829,242203,132
"Woodbury, Minnesota",1982,68820,35
"Woodland, California",3861,59068,15
"Worcester, Massachusetts",4937,184508,37
"Wyoming, Michigan",3067,75567,25
"Yakima, Washington",3458,93986,27
"Yonkers, New York",11150,200807,18
"Yorba Linda, California",3503,68235,19
"Youngstown, Ohio",1894,64312,34
"Yuba City, California",4585,66845,15
"Yucaipa, California",1911,53309,28
"Yuma, Arizona",789,94906,120
"Pearl City, Hawaii",4575,26534,6
"Boise, Idaho",2698,223361,83
"Burlington, Vermont",647,19141,30
"Dover, Delaware",1599,37538,23
"Lewiston, Maine",1019,36221,36
"Lexington-Fayette, Kentucky",1128,321959,286
"Juneau, Alaska",10,32164,"3,255"
"Augusta, Georgia",659,201800,306
"Huntington, West Virginia",2550,47079,18
"Columbia, Maryland",3224,103170,32
"Charleston, West Virginia",587,47929,82
