Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical
80,Oxnard,CA,"Oxnard, CA",58.36,71,151,30,legal,legal
81,Nampa,ID,"Nampa, ID",58.2,102,137,11,misdemeanor,illegal
82,Los Angeles,CA,"Los Angeles, CA",58.12,43,104,146,legal,legal
83,Orlando,FL,"Orlando, FL",58.04,85,24,107,illegal,legal
84,Portland,OR,"Portland, OR",57.72,92,27,102,legal,legal
85,Salem,OR,"Salem, OR",57.71,101,29,90,legal,legal
86,Brownsville,TX,"Brownsville, TX",57.55,95,68,88,illegal,CBD oil
87,Pittsburgh,PA,"Pittsburgh, PA",57.45,112,21,60,illegal,legal
88,Riverside,CA,"Riverside, CA",57.25,100,22,105,legal,legal
89,Fontana,CA,"Fontana, CA",57.23,106,72,50,legal,legal
90,New York,NY,"New York, NY",57.1,70,152,74,decriminalized,legal
91,Nashua,NH,"Nashua, NH",57.09,82,100,96,decriminalized,legal
92,Huntsville,AL,"Huntsville, AL",57,130,47,22,misdemeanor,illegal
93,Jersey City,NJ,"Jersey City, NJ",56.85,93,168,33,illegal,legal
94,West Valley City,UT,"West Valley City, UT",56.83,103,78,81,misdemeanor,legal
95,Manchester,NH,"Manchester, NH",56.49,96,113,63,decriminalized,legal
96,Ontario,CA,"Ontario, CA",56.35,107,84,70,legal,legal
97,San Antonio,TX,"San Antonio, TX",56.34,115,57,55,illegal,CBD oil
98,Amarillo,TX,"Amarillo, TX",56.21,119,45,78,illegal,CBD oil
99,Vancouver,WA,"Vancouver, WA",56.17,108,97,61,legal,legal
100,Tampa,FL,"Tampa, FL",56.02,121,38,58,illegal,legal
101,Miami,FL,"Miami, FL",55.97,63,39,179,illegal,legal
102,Dover,DE,"Dover, DE",55.94,81,61,145,decriminalized,legal
103,Moreno Valley,CA,"Moreno Valley, CA",55.61,111,108,65,legal,legal
104,Glendale,AZ,"Glendale, AZ",55.36,89,159,86,Illegal,legal
105,Nashville,TN,"Nashville, TN",55.34,126,96,35,misdemeanor,CBD oil
106,Houston,TX,"Houston, TX",55.33,69,132,139,illegal,CBD oil
107,Chicago,IL,"Chicago, IL",55.2,60,175,114,decriminalized,legal
108,Columbia,SC,"Columbia, SC",54.93,137,7,83,misdemeanor,CBD oil
109,Greensboro,NC,"Greensboro, NC",54.9,97,94,98,decriminalized,CBD oil
110,Lewiston,ME,"Lewiston, ME",54.55,151,43,84,legal,legal
111,Laredo,TX,"Laredo, TX",54.4,75,66,173,illegal,CBD oil
112,Hialeah,FL,"Hialeah, FL",54.33,67,160,169,illegal,legal
113,Henderson,NV,"Henderson, NV",54.13,120,125,53,legal,legal
113,Lexington-Fayette,KY,"Lexington-Fayette, KY",54.13,113,76,112,misdemeanor,CBD oil
115,Sacramento,CA,"Sacramento, CA",53.96,114,59,118,legal,legal
116,Modesto,CA,"Modesto, CA",53.5,117,81,121,legal,legal
117,Newport News,VA,"Newport News, VA",53.29,105,155,128,misdemeanor,CBD oil
118,Tucson,AZ,"Tucson, AZ",53.19,99,114,134,Illegal,legal
119,Springfield,MO,"Springfield, MO",53.03,132,106,71,decriminalized,legal
120,St. Petersburg,FL,"St. Petersburg, FL",52.76,135,25,133,illegal,legal
121,Richmond,VA,"Richmond, VA",52.66,104,139,157,misdemeanor,CBD oil
122,Tacoma,WA,"Tacoma, WA",52.59,109,140,153,legal,legal
123,Warwick,RI,"Warwick, RI",52.41,136,44,151,decriminalized,legal
124,Lubbock,TX,"Lubbock, TX",52.29,133,16,142,illegal,CBD oil
125,Casper,WY,"Casper, WY",51.99,161,71,97,misdemeanor,CBD oil
126,Kansas City,MO,"Kansas City, MO",51.96,110,148,129,decriminalized,legal
127,Phoenix,AZ,"Phoenix, AZ",51.94,87,136,172,Illegal,legal
128,Oklahoma City,OK,"Oklahoma City, OK",51.59,155,110,38,illegal,legal
129,Corpus Christi,TX,"Corpus Christi, TX",51.5,145,15,124,illegal,CBD oil
130,Winston-Salem,NC,"Winston-Salem, NC",51.44,116,118,141,decriminalized,CBD oil
131,Juneau,AK,"Juneau, AK",51.21,160,3,175,legal,legal
132,Albuquerque,NM,"Albuquerque, NM",51.15,123,111,150,illegal,legal
133,Columbus,OH,"Columbus, OH",51.14,128,133,111,decriminalized,legal
134,Bakersfield,CA,"Bakersfield, CA",50.98,139,74,126,legal,legal
135,Bridgeport,CT,"Bridgeport, CT",50.92,88,169,161,decriminalized,legal
136,Jacksonville,FL,"Jacksonville, FL",50.55,153,95,72,illegal,legal
137,Knoxville,TN,"Knoxville, TN",50.43,166,62,32,misdemeanor,CBD oil
138,Louisville,KY,"Louisville, KY",50.31,158,124,42,misdemeanor,CBD oil
139,Norfolk,VA,"Norfolk, VA",49.97,129,129,143,misdemeanor,CBD oil
140,Chattanooga,TN,"Chattanooga, TN",49.94,167,99,40,misdemeanor,CBD oil
141,Wichita,KS,"Wichita, KS",49.79,138,131,130,misdemeanor,CBD oil
142,Worcester,MA,"Worcester, MA",49.77,125,149,159,legal,legal
143,Rochester,NY,"Rochester, NY",49.76,134,142,140,decriminalized,legal
144,San Bernardino,CA,"San Bernardino, CA",49.56,124,134,166,legal,legal
145,Buffalo,NY,"Buffalo, NY",49.22,144,126,117,decriminalized,legal
146,Fresno,CA,"Fresno, CA",48.86,127,119,158,legal,legal
147,Milwaukee,WI,"Milwaukee, WI",48.75,122,172,147,misdemeanor,CBD oil
148,Baton Rouge,LA,"Baton Rouge, LA",48.56,140,93,168,illegal,legal
149,Stockton,CA,"Stockton, CA",48.35,118,150,165,legal,legal
150,Spokane,WA,"Spokane, WA",48.08,142,91,176,legal,legal
151,Indianapolis,IN,"Indianapolis, IN",47.83,147,177,89,misdemeanor,CBD oil
152,Fort Wayne,IN,"Fort Wayne, IN",47.63,152,143,132,misdemeanor,CBD oil
153,New Orleans,LA,"New Orleans, LA",47.57,164,127,76,illegal,legal
154,North Las Vegas,NV,"North Las Vegas, NV",47.19,157,158,99,legal,legal
155,Las Vegas,NV,"Las Vegas, NV",47.02,149,146,144,legal,legal
156,Tulsa,OK,"Tulsa, OK",46.5,170,83,110,illegal,legal
157,Wilmington,DE,"Wilmington, DE",46.32,156,144,154,decriminalized,legal
158,Providence,RI,"Providence, RI",45.81,169,115,122,decriminalized,legal
159,New Haven,CT,"New Haven, CT",45.56,131,141,182,decriminalized,legal
160,Montgomery,AL,"Montgomery, AL",45.48,143,176,155,misdemeanor,illegal
161,Baltimore,MD,"Baltimore, MD",44.75,148,161,177,decriminalized,legal
162,Jackson,MS,"Jackson, MS",44.7,150,178,178,decriminalized,CBD oil
163,Shreveport,LA,"Shreveport, LA",44.59,171,173,75,illegal,legal
164,Memphis,TN,"Memphis, TN",44.45,146,179,156,misdemeanor,CBD oil
165,Philadelphia,PA,"Philadelphia, PA",44.27,168,165,115,illegal,legal
166,Columbus,GA,"Columbus, GA",44.27,174,154,109,decriminalized,CBD oil
167,Fayetteville,NC,"Fayetteville, NC",44.17,159,153,170,decriminalized,CBD oil
168,Akron,OH,"Akron, OH",44.05,154,166,174,decriminalized,legal
169,Cincinnati,OH,"Cincinnati, OH",43.5,165,145,162,decriminalized,legal
170,Fort Smith,AR,"Fort Smith, AR",43.33,176,135,136,Illegal,legal
171,Saint Louis,MO,"Saint Louis, MO",42.85,162,170,160,decriminalized,legal
172,Augusta,GA,"Augusta, GA",42.38,175,163,106,decriminalized,CBD oil
173,Mobile,AL,"Mobile, AL",42.22,172,174,135,misdemeanor,illegal
174,Newark,NJ,"Newark, NJ",41.86,141,182,180,illegal,legal
175,Huntington,WV,"Huntington, WV",41.58,182,51,18,misdemeanor,legal
176,Little Rock,AR,"Little Rock, AR",41.4,178,130,101,Illegal,legal
177,Gulfport,MS,"Gulfport, MS",41.06,179,162,94,decriminalized,CBD oil
178,Cleveland,OH,"Cleveland, OH",40.81,163,180,164,decriminalized,legal
179,Birmingham,AL,"Birmingham, AL",40.78,173,167,163,misdemeanor,illegal
180,Charleston,WV,"Charleston, WV",39.68,180,65,93,misdemeanor,legal
181,Toledo,OH,"Toledo, OH",39.48,177,171,148,decriminalized,legal
182,Detroit,MI,"Detroit, MI",29.19,181,181,181,legal,legal
